,textbox16,textbox33,textbox36,AnimalNumber,AnimalName,Species,PrimaryBreed,textbox11,Gender,Altered,OperationType,OperationSubType,OperBy,textbox64,ARN,textbox55,textbox54,textbox58,JurisdictionOut,OutcomeReason,Textbox50,Textbox17,Textbox31,Textbox34,Textbox44,Textbox45,textbox77,gid,Animal ID,Level,Level Reason,Special Intake Information,HW,Sex,Microchip ID,Rabies Revaccination Date,Weight,Hold,Current Status,Age,Location,Short URL,Foster Start Reason,Leash Skills,Dog Interaction,Cat Interaction,Kid Interaction,Crate Trained,Potty Skills,Cuddle Meter,Energy/Activity Level,DOB,IntakeDate,Color & Breed,More about me,Play Style,Playgroup Notes,"""Dog Test"" Notes",Behavior Notes,Foster/Home Notes,completed
0,Adoption,Total Outcomes: 21,Total Unique Animals: 21,A0058330172,Bando-ADOPTED,Dog,"Chihuahua, Short Coat",2mos,M,Yes,Adoption,Onsite,Shirra Jane,JShirra,L1,Mix,No,,Fulton County,,04/22/2025 05:07 PM,,,,,,43,1210027358881698,A0058330172,L1,L1,,,N,941010002991933,4/22/2026,6,,Adopted,00 year(s) 02 month(s) 01 day(s),Dog Intake 128.02,,,,,,,,,,,2/21/2025,4/17/2025," Brown / Golden Chihuahua, Short Coat / Mix",,,,,4/18/2025 easily handled,,True
1,Adoption,Total Outcomes: 21,Total Unique Animals: 21,A0058326639,Android-ADOPTED,Dog,"Dachshund, Standard Smooth Haired",3mos,M,Yes,Adoption,Onsite,Turner Kam'bray,KTurner,L2-SF,Mix,No,,Other,,04/22/2025 04:40 PM,,,,,,43,1210019001723004,A0058326639,L2,L2-SF,,,N,941010003070899,,12,,Adopted,00 year(s) 03 month(s) 04 day(s),Dog Visiting 060 C2,,,,,,,,,,,,4/17/2025," Brown Dachshund, Standard Smooth Haired / Mix",,,,,"4/18/2025 scared & growling in intake kennel. showing signs of stress/fear, startles easily, tense muscles, urination when touched, frozen/frigid, hiding, whale eye. warmed up a bit once in exam room with treats but trembled the entire time. seems very food motivated",,True
2,Adoption,Total Outcomes: 21,Total Unique Animals: 21,A0058325314,Spinderella -ADOPTED,Dog,"Terrier, Pit Bull",7mos,F,Yes,Adoption,Onsite,Harmon Maddie,maddieharmon,L1,Mix,No,,Atlanta,,04/22/2025 05:40 PM,,,,,,43,1210018953389837,A0058325314,L1,L1,,,S,941010003017661,4/22/2026,37,,Adopted,00 year(s) 05 month(s) 04 day(s),Dogs 081 B5,,,,,,,,,,,,4/17/2025," Grey / White Terrier, Pit Bull / Mix",,,,,4/18/2025 easily handled,,True
3,Adoption,Total Outcomes: 21,Total Unique Animals: 21,A0058328290,Tiny Tim-ADOPTED,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)",5mos,M,Yes,Adoption,Onsite,Harmon Maddie,maddieharmon,L1,Mix,No,,Other,,04/22/2025 04:39 PM,,,,,,43,1210018851270296,A0058328290,L1,L1,,-,N,941010003003751,4/22/2026,70,,Available,01 year(s) 02 month(s) 29 day(s),Dogs 088 B10,,,,,,,,,,,,4/17/2025," Black Mixed Breed, Medium (up to 44 lbs fully grown) / Mix",,,,,"4/18/2025 easily handled

2/11/2026 Behavior Upon Arrival: (behavior in field or intake lobby): N/AObserved Behavior in Kennel: Easily handled Behavior During Intake Exam: Easily handledLevel Given After Intake (be specific): L1 ",,True
4,Adoption,Total Outcomes: 21,Total Unique Animals: 21,A0058306998,Deuce- ADOPTED,Dog,Belgian Malinois,4yrs,M,Yes,Adoption,Onsite,Hartman Lyndsey,LHartman,L1,Mix,No,,Atlanta,,04/22/2025 04:40 PM,,,,,,43,1209997981202420,A0058306998,L1,L1,,-,N,941010003025280,4/16/2026,56,,Available,04 year(s) 00 month(s) 06 day(s),Dogs 401 5,,,,,,,,,,,,4/15/2025, Black / Brown Belgian Malinois / Mix,,,,,4/16/2025 easily handled in intake kennel & during exam,,True
5,Adoption,Total Outcomes: 21,Total Unique Animals: 21,A0056886822,Dianna Ross,Dog,"Mixed Breed, Large (over 44 lbs fully grown)",10mos,F,Yes,Adoption,Onsite,Harmon Maddie,maddieharmon,L1,Mix,No,,Atlanta,,04/22/2025 07:57 PM,,,,,,43,1208310909092447,A0056886822,L1,L1,,-,S,941010002463347,10/2/2025,49,,Available,00 year(s) 10 month(s) 07 day(s),Dogs 306 B2,,,Walks politely on leash,,,Positive history with kids,Has done well in a crate.,Has done well in a home. ,,,,9/14/2024," Brown / White Mixed Breed, Large (over 44 lbs fully grown) / Mix",,,,"4/15/2025 a bit insecure, eager to play, helicopter tail, very friendly. ","9/15/2024 easily handled in the kennel and during the intake exam. 

4/9/2025 Easily handled both in the kennel and during the exam.","4/8/2025 Timestamp 2025-04-08 18:16:38Dog's name: DollyDoes this dog take any medication or have any known medical issues, injuries, or allergies? If yes, please explain. noHow long have you had this dog? 2025-10-24 00:00:00This dog is a... Adoption Return (This pet was adopted from this shelter.)What is the main reason you are bringing this dog back to the shelter? Time commitmentPlease explain in your own words, why you need to return this dog today. don't have timeWhile in your care, did this dog live with children? The dog did not live with children, but has met children while with me.If this dog lived with or interacted with children, how old were the children? 3 years oldHow would you describe this dog's behavior towards the children? Mostly FriendlyIf this dog has had issues with children that include behavior such as growling, snapping, or showing teeth, please describe the circumstance, tell us how often and give as much detail as possible. noneWhat other animals did this dog live with in your home? No other animalsIf other animals lived in the home, how well did this dog get along with them? noIf this dog met or played with other dogs please describe their body language: UninterestedHas this dog ever fought with another dog? If yes, please describe the incident. NoHas this dog ever injured another dog? If yes, please describe the incident. noHow does this dog react when they see a prey animal (squirrel, mouse, bird) or cat outside? chaseHas this dog ever killed a prey animal or pet? If yes, please describe the incident. noIs there any other information you would like to share about this dog interacting with other animals? noWhere did this dog spend most of their time? InsideDo you have a fenced yard? NoIf you do not have a fenced yard, do you: Walk the dog on a leashHow did you exercise this dog? walkHow often did you exercise this dog? DailyWhat kind of collar did you use for this dog? Body harnessHow was this dog on a leash? Great on a leashHave you ever taken this dog to a training class? NoWhat commands does this dog know? sit paw stay tubWhich behaviors does this dog need improvement on? noneWhen the dog played did they typically... JumpHow long each day was this dog left alone inside your home? all dayWhen left inside your home alone, was this dog... CratedWhen this dog was left alone did they show any of the following behaviors? None of theseIs this dog crate trained? Yes, for 4-8 hours.How often did this dog have potty accidents in the house? Rarely, Urinates onlyHow often did this dog destroy things other than toys? NeverIf this dog destroys things, is it only when left alone? NoWhat does this dog do when a stranger/visitor comes into the house? gets happyWhat does this dog do when a stranger tries to pet them? let them petWhat does this dog do when you or someone else goes near the food bowl while they are eating? nothingWhat does this dog do when someone tries to take away toys, bones, food, or anything the dog decides is valuable? nothingWhat does this dog do when someone tells them to get off of furniture? Doesn't get on furnitureWhat is this dog's best quality? learning commandsWhat is this dog's worst quality? real scaryCheck all that apply to this dog's personality: Friendly, Shy, Clingy, Polite, Playful, AffectionateIn your own words, describe this dog's personality. chillWhat is this dog afraid of? How do they react? VacuumAll dogs have sensitive places. Where is this dog sensitive about being touched? Describe their reaction. noneHave you seen them act aggressively toward anyone? NoWould you like to be notified if this animal is ever at risk for euthanasia? YesIf the animal is still here in 30 days, would you like us to check in with you? Yes",True
6,Adoption,Total Outcomes: 21,Total Unique Animals: 21,A0055880455,Rogue,Dog,"Terrier, Pit Bull",5yrs,M,Yes,Adoption,Onsite,Hartman Lyndsey,LHartman,L1,Mix,No,,Other,,04/22/2025 03:53 PM,,,,,,43,1207278571727666,A0055880455,L1,L1,,-,N,941010003194084,7/19/2025,47,,Available,04 year(s) 11 month(s) 13 day(s),Dogs 081 A7,https://bit.ly/Adopt-Rogue,,Walks politely on leash,Has enjoyed interacting with other dogs,Positive interaction,,,Has done well in a home. ,Super cuddler,1 - Low energy,,5/8/2024," Brown / White Terrier, Pit Bull / Mix",,,,,"5/9/2024 Easily handled 

6/18/2024 He was sitting in the kennel while hanging his head down low and side eyeing Cindy and I during rounds. His body language was more tense than usual so I opened his kennel door to see if he would solicit attention like he normally would but instead he whale eyed and low growled with a pucker. Advised staff to use caution handling. Very distressed and fearful in kennel.

6/25/2024 Easily leashed and retrieved. Very excited to get out of his kennel! Super wiggly and curious. Happily greeted every stranger he encountered, both male and female. Very cute and very sweet! No issues re-kenneling. Wrote up for Happy tail.

7/13/2024 Rogue was super gentle and was his typically low key self. He was curled up on his bed when I went to his kennel and was easily leashed. Great on leash. He was interested in other dogs through the fences in the play yard, tail wagging. He was super interested in everything and everyone around him, focused on movements and sounds and not easily distracted from it. He’s still the sweetest little guy. 

3/12/2025 Link to our meeting summary:https://docs.google.com/document/d/1lpoqGZo4tmip-BjG1SoLNHtYDVl-MQEzubmMbSpxtAg/edit?usp=sharing

4/14/2025 easily handled while in intake and during exam","4/13/2025 Timestamp 2025-04-13 11:38:21Dog's name: RogueAnimal ID #: 55880455Does this dog take any medication or have any known medical issues, injuries, or allergies? If yes, please explain. noHow long have you had this dog? 2024-04-19 00:00:00This dog is a... Foster (I had this pet as a foster for more than 3 nights.)What is the main reason you are returning this pet to the shelter? Rogue is an amazing dog who is cat and dog friendly. We are having issues going on that have made drastic changes to his care. We leave before sunrise and get home after its dark and are having to clean up messes. This is not his fault as we are gone more than 18 hours. We are exhausted and just need a break. Our resident dog has started attacking rogue for reasons unknown. Please give rogue a chance as he needs specia. Attention due to his anxietyWhile in your care, did this dog live with children? NoAre there any details about this dog interacting with children that you would like to share? noWhat other animals did this dog live with in your home? Large dog(s), CatsIf other animals lived in the home, how well did this dog get along with them? they all get along well and sometimes have their issues as do any dogsIf this dog met or played with other dogs please describe their body language: Excited, Jumpy, Rough/needs mannersHas this dog ever fought with another dog? If yes, please describe the incident. playful playHas this dog ever injured another dog? If yes, please describe the incident. noHow does this dog react when they see a prey animal (squirrel, mouse, bird) or cat outside? not interestedHas this dog ever killed a prey animal or pet? If yes, please describe the incident. noIs there any other information you would like to share about this dog interacting with other animals? noWhere did this dog spend most of their time? BothDo you have a fenced yard? YesHow did you exercise this dog? walks,hikes and runs in yardHow often did you exercise this dog? DailyWhat kind of collar did you use for this dog? Body harnessHow was this dog on a leash? Some pulling, but manageable, Gets excited when they see other dogsHave you ever taken this dog to a training class? NoWhat commands does this dog know? Sit,stay,no,offWhich behaviors does this dog need improvement on? separation anxiety, counter surfingWhen the dog played did they typically... Jump, Growl, Bark, Bite lightlyHow long each day was this dog left alone inside your home? Recently 16 hoursWhen left inside your home alone, was this dog... A mix of crated and free roamWhen this dog was left alone did they show any of the following behaviors? Urinated/defecated, Barked, Cried, Tried to escape crateIs this dog crate trained? Yes, for 4 hours or less.How often did this dog have potty accidents in the house? RarelyHow often did this dog destroy things other than toys? Only in the beginning but not nowIf this dog destroys things, is it only when left alone? YesWhat items did this dog destroy? Wall molding and doorWhat does this dog do when a stranger/visitor comes into the house? Excited and jumpsWhat does this dog do when a stranger tries to pet them? He loves itWhat does this dog do when you or someone else goes near the food bowl while they are eating? not aggressiveWhat does this dog do when someone tries to take away toys, bones, food, or anything the dog decides is valuable? growl but gives it up if a distraction is givenWhat does this dog do when someone tells them to get off of furniture? gets offWhat is this dog's best quality? very affectionateWhat is this dog's worst quality? separation anxietyCheck all that apply to this dog's personality: Friendly, Clingy, Goofy, Playful, AffectionateIn your own words, describe this dog's personality. cat friendly, dog friendly. Clingy, food motivated, Loves walks , sun bathing, loves to play with dogs, loves looking out window, enjoys nappingWhat is this dog afraid of? How do they react? being left alone. I think he has a fear of abandonmentAll dogs have sensitive places. Where is this dog sensitive about being touched? Describe their reaction. his butt. We express our own dogs anal glands and rogue started scooting so we tried to express his and he does not like it.Have you seen them act aggressively toward anyone? NoPlease tell us anything you would like us to know about this dog to help us find it an adoptive home. He would be best in a home with a dog or cat or even alone. He is super friendly and loves his people. He needs someone who can be patient with him as it takes some time to trust.Would you like to be notified if this animal is ever at risk for euthanasia? YesIf the animal is still here in 30 days, would you like us to check in with you? Yes",True
7,Adoption,Total Outcomes: 21,Total Unique Animals: 21,A0057954312,Bubbly- ADOPTED,Dog,"Terrier, American Pit Bull",2yrs,F,Yes,Adoption,Onsite,Hartman Lyndsey,LHartman,L1,Mix,No,,Alpharetta,,04/22/2025 12:08 PM,,,,,,43,1209576912026821,A0057954312,L1,L1,,+,S,941010002423314,3/21/2026,37,,Trial Adoption,02 year(s) 01 month(s) 17 day(s),Foster Trial Adoption,https://bit.ly/AdoptBubbly,Trial Adoption,Walks politely on leash,Has enjoyed interacting with other dogs,,,,,Super cuddler,1 - Low energy,,3/4/2025," Brown Terrier, American Pit Bull / Mix",,,"3/18/2025 Primary Handler: amberSecondary Handler: emilyRunners:Scribe:Play Style: cafeGreeter/Helper: Significant Incidents: aloof but steerabletolerant of other dogs sniffing her. may just be a reserved gal - bring to cafe, may not benefit from group  ","3/13/2025 Dog tested with Alaskan Bull worm. Sniffed through the fence and both paid each other no mind. Jacob brought Alaskan Bull worm into the play yard on leash. Alaskan was more interested in Bubbly. She just walked around the yard as if he wasn't there. He came up to her and was sniffing her back side and she was not bothered. We dropped leashes and they both did their own thing. She saw he was there but didn't really interact with him. I would be curious to see how she does with a dog that is a little more in her face. But overall a great test. She seemed relaxed, no hackles, tail was loose. ",3/5/2025 easily handled in the kennel and during the intake exam. ,,True
8,Adoption,Total Outcomes: 21,Total Unique Animals: 21,A0057962653,Cinna Swirl-ADOPTED,Dog,"Terrier, American Pit Bull",2yrs,F,Yes,Adoption,Onsite,Turner Kam'bray,KTurner,L1,Mix,No,,Other,,04/22/2025 12:47 PM,,,,,,43,1209591911595153,A0057962653,L1,L1,,-,S,941010002352939.0,3/7/2026,61,,Trial Adoption,02 year(s) 02 month(s) 15 day(s),Foster Trial Adoption,https://bit.ly/AdoptCinnaSwirl,Trial Adoption,Walks politely on leash,Likes some dogs (Dog selective),Does not like cats,Best with older kids ,Crates are scary!,Has done well in a home. ,Super cuddler,2-Medium energy,,3/5/2025,"Merle Brown Terrier, American Pit Bull / Mix","Loves fetch, Loves toys, Knows basic commands",No PlayGroup- Slow Intros,,"3/21/2025 growled through gate at radio rebel but was neutral with oreo castellon. pulled radio rebel back and allowed her to enter yard with oreo. was more interested in sniffing the yard than greeting oreo. after some time she approached radio, remained neutral, and then continued sniffing the yard. handler moved radio to the other side of the yard and as he passed cinna swirl she began growling, and then growled at oreo when he approached her. showed no interest in playing and was not behaving offensively, but also appeared intolerant of the dogs existing nearby. adoption return, will reassess after she's decompressed for a few days. 

4/15/2025 no offensive behavior shown or intolerance towards dogs, but didn't seem to benefit from the socialization - wouldn't bring back to PG but likely could live with other dogs.  no growling or defensive behavior at gate!! (last assessment she growled at both dogs) low and slow wag when rose greeted. once in the yard she immediately went to sniffing the yard, showing no interest in birch when he came up to greet her. provided ample time for her to loosen up and interact with both dogs, rose rubbed up against her and cinna swirl moved away from her, trotting to the other side of the yard. birch sniffed her entire body and she acted like he didn't even exist, not swaying from sniffing the yard and walking around.   ",3/6/2025 easily handled while in intake and during exam,"3/24/2025 CINNA SWIRL – Trial Adoption Return 3/20 Does this dog take any medication or have any known medical issues, injuries, or allergies? If yes, please explain YesHow long have you had this dog? Since 3/12/2025Why are you bringing this dog back to the shelter today? Health of the petPlease explain in your own words, why you need to return this dog Heath issue with pet which are getting worse not better.While in your care, did this dog live with children? The dog did not live with children, but has met children while with me.If this dog lived with or interacted with children, how old were the children? 3 mos and 2 yrsHow would you describe this dog's behavior towards the children? Mostly FriendlyAre there any details about this dog interacting with children that you would like to share? NoIf this dog has had issues with children that include behavior such as growling, snapping, or showing teeth, please describe the circumstance, tell us how often and give as much detail as possible NoWhat other animals did this dog live with in your home? Large dog(s)If other animals lived in the home, how well did this dog get along with them? It was another foster they got along very wellIf this dog met or played with other dogs please describe their body language: NervousHas this dog ever injured another dog? If yes, please describe the incident NoHow does this dog react when they see a prey animal (squirrel, mouse, bird) or cat outside? No reactionHas this dog ever killed a prey animal or pet? If yes, please describe the incident NoIs there any other information you would like to share about this dog interacting with other animals? Needs patience she has been hurt in the past.Where did this dog spend most of their time? BothDo you have a fenced yard? YesHow did you exercise this dog? Walks throw ball/fetchHow often did you exercise this dog? DailyWhat kind of collar did you use for this dog? Body harnessHow was this dog on a leash? Great on a leashHave you ever taken this dog to a training class? NoWhat commands does this dog know? Sit noWhich behaviors does this dog need improvement on? Training on more basicsWhen the dog played did they typically Jump, Pull on toys run after ball. Wants rubbing and loveHow long each day was this dog left alone inside your home? NeverWhen left inside your home alone, was this dog Never left aloneWhen this dog was left alone did they show any of the following behaviors? Never left aloneIs this dog crate trained? We never made this dog stay in a crate.How often did this dog have potty accidents in the house? NeverHow often did this dog destroy things other than toys? NeverIf this dog destroys things, is it only when left alone? NoWhat items did this dog destroy? NoneWhat does this dog do when a stranger/visitor comes into the house? Go to attention and then wrags her tailWhat does this dog do when a stranger tries to pet them? Allows SniffsWhat does this dog do when you or someone else goes near the food bowl while they are eating? You can touch the bowl and tour her when she is eating.What does this dog do when someone tries to take away toys, bones, food, or anything the dog decides is valuable? If playing ...just play or if you're taking it she allows it.What does this dog do when someone tells them to get off of furniture? Looks at you for another direction to get offWhat is this dog's best quality? Kind friendly fun lovingWhat is this dog's worst quality? Right just be dog sick with kennel coughCheck all that apply to this dog's personality: Friendly, Shy, Clingy, Polite, Fearful, Playful, AffectionateIn your own words, describe this dog's personality Beautiful LovingWhat is this dog afraid of? How do they react? From a part of her past she was abused so she's shy.Have you seen them act aggressively toward anyone? NoPlease tell us anything you would like us to know about this dog to help us find it an adoptive home She's a great pet just sick at the moment. She's shy needs love and NEEDS to FEEL SAFE. Someone hurt her in the pass.Would you like to be notified if this animal is ever at risk for euthanasia? YesIf the animal is still here in 30 days, would you like us to check in with you? Yes

4/12/2025 CINNA SWIRL -DFTD 4/12 Does this dog take any medication or have any known medical issues, injuries, or allergies? If yes, please explain. NoHow long have you had this dog? One dayThis dog is a... Dog For The Day (I picked this pet up earlier today for an outing.)What activities did you do with this dog today? Went for a long walk, took a long nap, and got a pup cup!Did this dog have any interactions with the following? [Dogs ] Positive InteractionDid this dog have any interactions with the following? [Cats] No InteractionDid this dog have any interactions with the following? [Men ] Positive InteractionDid this dog have any interactions with the following? [Women ] Positive InteractionDid this dog have any interactions with the following? [Children ] Positive InteractionWhat was this dog's activity level? 1-Low energy (Couch potato)How cuddly was this dog today? 4-Super snugglerIf this dog met any children on your outing, how would you describe this dog's behavior towards the children? Mostly FriendlyHow did this dog do on a leash? Some pulling, but manageableDid this dog know any commands? SitWhat is this dog's best quality, in your opinion? She has the sweetest disposition - just a love bugWhat is this dog's worst quality, in your opinion? She’s a scaredy catSelect any of these apply to the dog's personality: Friendly, Clingy, Affectionate, PoliteDid this dog have an potty accidents? NoDid you see this dog act aggressively toward anyone? NoPlease tell us anything you would like us to know about this dog to help us find it an adoptive home. Cinna Swirl just wants to cuddle up and have a nap buddy all day long. She looks to everyone for a head pat, wants to stop and smell the flowers on a walk, and will chase any squirrel you let her.Would you like to be notified if this animal is ever at risk for euthanasia? YesIf the animal is still here in 30 days, would you like us to check in with you? No

4/14/2025 Timestamp 2025-04-15 18:46:14Dog's name: Cinna SwirlHow long have you had this dog? 2 hoursThis dog is a... Dog For The Day (I picked this pet up earlier today for an outing.)What activities did you do with this dog today? We walked, grounded, and sunbathed.Did this dog have any interactions with the following? [Dogs ] No InteractionDid this dog have any interactions with the following? [Cats] No InteractionDid this dog have any interactions with the following? [Men ] No InteractionDid this dog have any interactions with the following? [Women ] No InteractionDid this dog have any interactions with the following? [Children ] No InteractionWhat was this dog's activity level? 2-Medium Energy (Alternates rest and play)How cuddly was this dog today? 2-I'm affectionate with friendsHow did this dog do on a leash? Great on a leashDid this dog know any commands? UnsureWhat is this dog's best quality, in your opinion? Cinna Swirl has a very calm temperament.Select any of these apply to the dog's personality: Friendly, Shy, AffectionateDid this dog have an potty accidents? NoDid you see this dog act aggressively toward anyone? NoWould you like to be notified if this animal is ever at risk for euthanasia? NoIf the animal is still here in 30 days, would you like us to check in with you? No

5/3/2025 Timestamp 2025-05-03 16:05:24Dog's name: Cinna Swirl now named WILLOWDoes this dog take any medication or have any known medical issues, injuries, or allergies? If yes, please explain. Yes- antibiotics from the shelterHow long have you had this dog? 3 weeks? Maybe 2.5This dog is a... Adoption Return (This pet was adopted from this shelter.)What is the main reason you are bringing this dog back to the shelter? High prey drive. Destroys cages and walls to get to other dogs.Please explain in your own words, why you need to return this dog today. WorriedWhile in your care, did this dog live with children? YesIf this dog lived with or interacted with children, how old were the children? 5, 6, and 9How would you describe this dog's behavior towards the children? Mostly Friendly, Jumps On ThemAre there any details about this dog interacting with children that you would like to share? Gentle with kids. Can jump when she gets the zoomies.If this dog has had issues with children that include behavior such as growling, snapping, or showing teeth, please describe the circumstance, tell us how often and give as much detail as possible. NoneWhat other animals did this dog live with in your home? Small dog(s)If other animals lived in the home, how well did this dog get along with them? She did not do well with my small dog even walking near her caged up. She broke her kennel walls trying to get to my resident dog.If this dog met or played with other dogs please describe their body language: Doesn’t like other dogsHas this dog ever fought with another dog? If yes, please describe the incident. She has tried to gain access to my smaller dog.Has this dog ever injured another dog? If yes, please describe the incident. NoHow does this dog react when they see a prey animal (squirrel, mouse, bird) or cat outside? NoHas this dog ever killed a prey animal or pet? If yes, please describe the incident. NoWhere did this dog spend most of their time? InsideDo you have a fenced yard? YesHow did you exercise this dog? A walk at nightHow often did you exercise this dog? DailyWhat kind of collar did you use for this dog? Buckle collarHow was this dog on a leash? Great on a leashHave you ever taken this dog to a training class? NoWhat commands does this dog know? SitWhich behaviors does this dog need improvement on? Jumping up when excited, love biting armsWhen the dog played did they typically... Jump, She would put her mouth around my arm, but not biteHow long each day was this dog left alone inside your home? 5 hoursWhen left inside your home alone, was this dog... CratedWhen this dog was left alone did they show any of the following behaviors? Destroyed household items, Tried to escape crateIs this dog crate trained? No! (tries to escape, cries, uses the bathroom)How often did this dog have potty accidents in the house? RarelyHow often did this dog destroy things other than toys? Only when she freed herself from her crateIf this dog destroys things, is it only when left alone? YesWhat items did this dog destroy? Anything she could chew up. Blinds, trash can, paint brushes, etc.What does this dog do when a stranger/visitor comes into the house? She loves peopleWhat does this dog do when a stranger tries to pet them? She’s walks to them for petsWhat does this dog do when you or someone else goes near the food bowl while they are eating? NothingWhat does this dog do when someone tries to take away toys, bones, food, or anything the dog decides is valuable? NothingWhat does this dog do when someone tells them to get off of furniture? Gets downWhat is this dog's best quality? Sweet & snugglyWhat is this dog's worst quality? Breaks out of crate & destroys the house when gone.Check all that apply to this dog's personality: Friendly, Clingy, Playful, AffectionateIn your own words, describe this dog's personality. She is calm, sweet, and gentle. She is a little rough when playing, jumps, love bites, and can knock someone over when running.What is this dog afraid of? How do they react? Tucks her tail and runsAll dogs have sensitive places. Where is this dog sensitive about being touched? Describe their reaction. She doesn’t like being approached from behind.Have you seen them act aggressively toward anyone? NoPlease tell us anything you would like us to know about this dog to help us find it an adoptive home. She is the best girl, would do best with someone who doesn’t have to crate her and if she needs to be crated she needs an anxiety crate, NO WIRE CRATES. She is potty trained. She will do best as the only dog. She is strong and tries to go after other dogs no matter the dogs size. She loves to snuggle.Does not like to get in the car but once she’s in, she’s fine. She loves kids but can play rough when she gets the zoomies and would do best in a home with older kids. She does not like to be confined anywhere. She will scratch up doors, jump 6 ft privacy fences, break/bend door to crates. She loves people and loves to go on walks. Shes medium to low energy unless she gets the zoomies then she can be on higher energy at side, but with proper exercise she is fine. She really deserves someone who can accommodate her needs.Would you like to be notified if this animal is ever at risk for euthanasia? YesIf the animal is still here in 30 days, would you like us to check in with you? Yes",True
9,Adoption,Total Outcomes: 21,Total Unique Animals: 21,A0056657164,Bo-wee-ADOPTED,Dog,"Terrier, Pit Bull",5yrs,M,Yes,Adoption,Foster Home,Shirra Jane,JShirra,L2-LB/OA,Mix,No,,,,04/22/2025 12:47 PM,,,,,,43,1208175694889281,A0056657164,L2,L2-LB/OA,,-,N,941010002481265,9/25/2025,44,,Available,04 year(s) 07 month(s) 24 day(s),Foster Foster Home,https://bit.ly/AdoptBo-wee,Behavior,,,,,,,,3-Regular walking/running partner,,8/28/2024," White / Brown Terrier, Pit Bull / Mix",,,,,"8/29/2024 Easily handled in the kennel and during the intake exam. 

9/26/2024 Bo-wee met a woman in the old pathways office and did well. Showed positive interest in her after sniffing around a bit first. At this time the lobby got crowded with people and dogs, and Bo-Wee was interested but non reactive. He turned and mounted my leg, but was easy to redirect. Hanging out in the lobby after this he began mounting every minute or so. Each time he was easy to pull off and would go into a sit. We went outside for a bit where he calmed, and then a man wanted to meet him. We went in the back corner office that is smaller and more closed off. The man was large and did not seem dog savvy. As soon as I shut the door I could tell that Bo-wee was feeling uncomfortable and cornered. I asked the man to open up and give him some space, but Bo-wee was still uncomfortable. He started barking and slightly lunging towards the man. Throughout these interactions Bo-wee was never difficult for me to control. I was going to recommend any potential fosters keep him on leash in case of humping. Bo-wee may prefer women, and would be best with an experienced dog person. In general he did not display SD to others in lobby outside of the incident in the office. 

9/29/2024 Will try to hump and does NOT want to stop. Wraps his legs around you and does not want to let go. 

11/14/2024 When volunteer Emily took Bo-Wee today she could not get him back.  He began actively leash biting, humping, and very OA.  She talked to staff member JJ who put him back but had a hard time.  JJ told her she has told her concerns to a supervisor before.  Am leveling up for now.  Will ask for evaluation.  - Cindy W","10/20/2024 DFTD 10/20What activities did you do with this dog today? Beltline walk and breweryDid this dog have any interactions with the follow? [Dogs ] Positive InteractionDid this dog have any interactions with the follow? [Cats] No InteractionDid this dog have any interactions with the follow? [Men ] Positive InteractionDid this dog have any interactions with the follow? [Women ] Positive InteractionDid this dog have any interactions with the follow? [Children ] No InteractionHow was this dog on a leash? Some pulling, but manageable, Gets excited when they see other dogsDid this dog know any commands? SitWhat is this dog's best quality? Very friendly towards everyone - met 30 strangers at the brewery and got lots of compliments!What is this dog's worst quality? Excitedly jumps on people (in a friendly way, but could knock down a frail person)Check all that apply to this dog's personality: Friendly, Playful, Affectionate, GoofyDid this dog have an potty accidents? We were outside all day.What was this dog's activity level? High Energy (great running buddy)Anything else you'd like to tell us to help them find an adoptive home? Showed positive interest in other dogs on leash, but did not actually meet them.Have you seen this dog act aggressively toward anyone? NoWould you like to be notified if this animal is ever at risk for euthanasia? Yes",True
