,gid,Animal ID,Level,Level Reason,Special Intake Information,HW,Sex,Microchip ID,Rabies Revaccination Date,Weight,Hold,Current Status,Age,Location,Short URL,Foster Start Reason,Leash Skills,Dog Interaction,Cat Interaction,Kid Interaction,Crate Trained,Potty Skills,Cuddle Meter,Energy/Activity Level,DOB,IntakeDate,Color & Breed,More about me,Play Style,Playgroup Notes,"""Dog Test"" Notes",Behavior Notes,Foster/Home Notes,completed
0,1210721860037921,A0058844548,L1,L1,,,S,941010003900531,8/13/2026,8,Rescue Pending,Under Age,00 year(s) 02 month(s) 13 day(s),Foster Foster Home,,Transfer Pending,,,,,,,,,6/14/2025,7/4/2025," White / Black Terrier, Pit Bull / Mix",,,,,7/5/2025 Easily handled while in intake and during exam.,,True
1,1211134527800291,A0059229477,,,,,F,,,,,Stray Wait,,Receiving 130 2,,,,,,,,,,,,8/24/2025, Tan / Black Shepherd / Mix,,,,,,,True
2,1210721775147095,A0058844551,L1,L1,,,S,941010003867469,,10,Rescue Pending,Under Age,00 year(s) 02 month(s) 13 day(s),Foster Foster Home,,Transfer Pending,,,,,,,,,6/14/2025,7/4/2025," Brindle / White Terrier, Pit Bull / Mix",,,,,7/5/2025 Easily handled while in intake and during exam.,,True
3,1210721860145270,A0058844554,L1,L1,,,S,941010003928139,8/13/2026,10,Rescue Pending,Under Age,00 year(s) 02 month(s) 13 day(s),Foster Foster Home,,Transfer Pending,,,,,,,,,6/14/2025,7/4/2025," Brindle Terrier, Pit Bull / Mix",,,,,7/5/2025 Easily handled while in intake and during exam.,,True
4,1210721774881880,A0058844553,L1,L1,,,S,941010003872905,8/13/2026,9,Rescue Pending,Under Age,00 year(s) 02 month(s) 13 day(s),Foster Foster Home,,Transfer Pending,,,,,,,,,6/14/2025,7/4/2025," Grey / White Terrier, Pit Bull / Mix",,,,,7/5/2025 Easily handled while in intake and during exam.,,True
5,1210721775147162,A0058844552,L1,L1,,,S,941010003896060,,7,,Under Age,00 year(s) 02 month(s) 13 day(s),Foster Foster Home,,Transfer Pending,,,,,,,,,6/14/2025,7/4/2025," Brindle / White Terrier, Pit Bull / Mix",,,,,7/5/2025 Easily handled while in intake and during exam.,,True
6,1211070094978679,A0059118714,,,,,M,,,0,Needs Rescue,Stray Wait,00 year(s) 01 month(s) 22 day(s),Dog Intake 128.01,,,,,,,,,,,6/27/2025,8/15/2025," Black / White Retriever, Labrador / Mix",,,,,,,True
7,1211179381346928,A0059259378,STAFF ONLY,STAFF ONLY2025001753,,,F,,,0,Court Mandate,Court,05 year(s) 06 month(s) 18 day(s),Dogs 203 8,,,,,,,,,,,2/11/2020,8/28/2025, Black / Brown Rottweiler,,,,,,,False
8,1211179521057219,A0059259369,STAFF ONLY,STAFF ONLY2025001753,,,M,985113007519287,,0,Microchip,Court,05 year(s) 06 month(s) 18 day(s),Dogs 203 3,,,,,,,,,,,2/11/2020,8/28/2025, Black / Brown Rottweiler,,,,,,,False
9,1211179455668677,A0059257262,,,,,F,,,0,Needs Rescue,Pending Behavior Assessment,,Receiving 129 K3,,,,,,,,,,,,8/28/2025," Tan Terrier, Pit Bull / Mix",,,,,,,False
10,1211179520877751,A0059255890,L1,L1,,,F,941010004126768,,18,,Identifying Info,01 year(s) 06 month(s) 01 day(s),Dog Pre/Post Op 135 2,,,,,,,,,,,,8/28/2025," Brown Mixed Breed, Small (under 24 lbs fully grown) / Mix",,,,,,,False
11,1211157617475961,A0059239719,,,,+,F,,8/28/2026,20,Court Mandate,Court,01 year(s) 07 month(s) 03 day(s),Clinic Clinic,,,,,,,,,,,1/26/2024,8/26/2025," Grey / White Terrier, Pit Bull / Mix",,,,,,,False
12,1211157617750527,A0059239705,,,,+,F,,8/28/2026,26,Court Mandate,Court,04 year(s) 00 month(s) 03 day(s),Clinic Clinic,,,,,,,,,,,8/26/2021,8/26/2025," Grey / White Terrier, Pit Bull / Mix",,,,,,,False
