,BehaviorTest,Animal #,Notes,TestCategory,Date,Time
0,Daily Observations,A0053632972,"7/31/2023 depressed, needs out!",Staff Observation,7/31/2023,12:00 PM
1,Daily Observations,A0053632972,8/1/2023 needs out!,Staff Observation,8/1/2023,02:00 PM
2,Daily Observations,A0053632972,8/2/2023 so sad!!,Staff Observation,8/2/2023,12:00 PM
3,Write Up,A0053636779,9/2/2023 Trying to retrieve another dog from the dog after leashing a co-housed dog Leigh bit my ankle (did not break skin) and began going into a frenzy shaking and biting at my boots and ankle.  Was able to grab koronda bed and wedge ib between and exit the kennel run.,Staff Observation,9/2/2023,11:33 AM
4,Write Up,A0053636779,"10/1/2023 When Ashley was pulling a dog out of Leigh's run, Leigh started biting at Ashley's ankles. Bite didn't puncture through her boot, but she was biting pretty roughly until Ashley was able to get out of the run.",Staff Observation,10/1/2023,04:43 PM
5,Daily Observations,A0053636779,10/5/2023 Awful kennel presence. Barking and lunging with wide eyes when people pass in front of her run. Redirecting on her runmates when people pass. Spinning and jumping high up on the run walls.,Staff Observation,10/5/2023,10:21 AM
6,Daily Observations,A0053636779,"10/11/2023 Charges kennel door with wide eyes and puckered lips, redirects on runmates when people pass infront of the run, spinning in circles and bouncing off of the walls when reactivity in the kennel is high. Significant kennel stress",Staff Observation,10/11/2023,08:25 AM
7,Write Up,A0054577049,10/21/2023 Loose and wiggly initially but when I went to open the door she started biting at the door and snarling. Was able to scan her for a chip but she bit at the wand repeatedly.,Staff Observation,10/21/2023,03:15 PM
8,Write Up,A0053634174,"10/29/2023 Ashley was leashing him to place him in a play yard for cleaning, when he slipped out of the leash and instantly went after Terrence. Ashley was right behind him so she was able to grab him before he could really get to Terrence. He did graze his arm but no blood was drawn. Seems to be deteriorating. ",Staff Observation,10/29/2023,09:52 AM
9,Write Up,A0054577049,11/4/2023 Very BR. She's finicky and will switch between loose and wiggly body language at the gate to lunging and snarling. Todd has been handling her alright but other barn staff still using catchpole for routine cleaning. ,Staff Observation,11/4/2023,12:27 PM
10,Write Up,A0053634174,11/5/2023 Jessica was able to leash outside and back in without any issues-    TS,Staff Observation,11/5/2023,01:35 PM
11,Write Up,A0054577049,11/5/2023 Jessica was able to leash outside and back in without any issues-    TS,Staff Observation,11/5/2023,01:43 PM
12,Write Up,A0054667066,11/6/2023 Growling at first but quickly warmed up to me. Gently took treats and was able to bathe her. Completed full intake with no issues. A.F.,Staff Observation,11/6/2023,06:26 PM
13,Daily Observations,A0054577049,"11/20/2023 Very good on leash, Very friendly but is a leash biter per Jessica P-   TS",Staff Observation,11/20/2023,01:08 PM
14,Daily Observations,A0054688624,11/30/2023 Brought her in my car to the new shelter. She hopped in no problem and loved every minute! When I pet her at red lights she showered me with kisses. She did try to climb out the open window a few times but settled pretty well without being harnessed in the car,In Shelter Volunteer Observation,11/30/2023,11:05 AM
15,Write Up,A0053911720,"12/10/2023 Kisha Brown:Potential adopter brought their dog for a meet and greet with Bocephus. Initially, Bocephus showed interest in the resident dog and approached her (both on leash) and sniffed. Bocephus became stiff and began barking. We separated the dogs, but Bocephus remained focused on the resident dog, lunging and barking. The adopters asked to end the meet and greet.",Staff Observation,12/10/2023,02:19 PM
16,Write Up,A0054577049,"12/16/2023 terrible kennel presence. barking, snarling and lunging at kennel door. Easily handled out as far as kennel staff are aware. needs priority out",Staff Observation,12/16/2023,11:34 AM
17,Daily Observations,A0054688624,12/17/2023 Low growling and barking with whale eyed in kennel during rounds on Saturday. Snarled and lunged when I walked away. Handled okay by kennel staff but some are concerned about handling her due to her behavior. ,Staff Observation,12/17/2023,04:28 PM
18,Write Up,A0054688624,"12/19/2023 Adopter went to meet her today: “... We met her but she was very reactive and uncomfortable. Baring her teeth and growling. We sat with her quietly for awhile, gave her kibble but didn’t help. None of the workers felt safe taking her out of her cage at that point and I agrees with them. We were also told she does not get along with other dogs.” ",In Shelter Volunteer Observation,12/19/2023,01:49 PM
19,Focus Group,A0054688624,"12/21/2023 Ashley came to say goodbye to Tango, so I came with her to meet her. She was eating a treat when we approached and she was standing crouched over it. She did not growl at Ashley, but when she saw me, low growled and whale eyed while she ate. Ashley got her attention away from the treat and easily leashed her. Tango had a relaxed loose wagging tail on leash and was easily walked out to the play yard. No reactivity seen. In the play yard, she immediately peed and pooped and was pretty aloof. Ashley approached her and put her face in Tango's face, and gave her some kisses, while her tail untucked. She briefly approached me for sniffs and made eyecontact with loose body language and then walked away to use the restroom again. She approached Ashley again for pets, and then came up to me to sniff and accept pets. She wagged her tail and jumped a bit when she saw Ashley pull out the slip lead. Easily rekenneled. Ashley noted she may have some barrier or resource guarding, she put her hand up to the gate while she was eating the treat she left behind and Tango bared her teeth, but that was all. ",Staff Observation,12/21/2023,02:55 PM
20,Daily Observations,A0054765121,12/28/2023 greeted us with a biiiig stretch! mid tail wag. great featured dog presentation! ,Staff Observation,12/28/2023,04:52 PM
21,Daily Observations,A0054577049,"12/30/2023 No walks in over 2 months. No kennel card to confirm it’s her. Sniffed Charlie tail wagging through fence until he barked at her and we walked away. She pulls some on leash but not bad. Got lots of sniffing in. Very friendly, met some people in the lobby, anxious pulling when I sat down with her, she was too curious about everything but she gave me some kisses. Got some Marie photos. She’s treat motivated but jumps instead of sits. ",In Shelter Volunteer Observation,12/30/2023,10:01 AM
22,Write Up,A0054688624,"1/17/2024 Takes treats gently through the gate. I opened the other side of her kennel to leash her outside and she was terrified, began trembling, the other dogs in 300 outside scared her. She went back in and I leashed her no problem. We continued to a quiet play yard where she sniffed around and went to the bathroom. Once she did her business she was  full of zoomies, accepted treats, and affectionate. Easily unleashed and re-kenneled. ",Staff Observation,1/17/2024,04:31 PM
23,Write Up,A0055111834,"1/18/2024 Noppy showed signs of stress. Noppy had tense body language, pinned ears and growled. Noppy eventually snarled and lunged at the kennel. ",In Shelter Volunteer Observation,1/18/2024,12:32 PM
24,Daily Observations,A0053626387,"1/19/2024 excessive salivating, non stop jumping, barking, calms for a second to chew on a toy and then starts again",Staff Observation,1/19/2024,09:43 AM
