,gid,Animal ID,Level,Level Reason,Special Intake Information,HW,Sex,Microchip ID,Rabies Revaccination Date,Weight,Hold,Current Status,Age,Location,Short URL,Foster Start Reason,Leash Skills,Dog Interaction,Cat Interaction,Kid Interaction,Crate Trained,Potty Skills,Cuddle Meter,Energy/Activity Level,DOB,IntakeDate,Color & Breed,More about me,Play Style,Playgroup Notes,"""Dog Test"" Notes",Behavior Notes,Foster/Home Notes,completed,parent gid,parent completed
68,1211145512012529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211145821532393,True
78,1211134865721030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211134526884726,True
85,1211134865044989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211134527800291,True
111,1211128175188046,A0059218081,L1,L1,,-,F,,,7,,Available,02 year(s) 00 month(s) 03 day(s),Foster Foster Home,,,,,,,,,,,,,,,,,,,,False,1211128175216464,True
115,1211128449464457,A0059217339,L1,L1,,-,N,,,11,,Stray Wait,01 year(s) 00 month(s) 03 day(s),Dogs 502 C2,,,,,,,,,,,,,,,,,,,,False,1211128449503913,True
118,1211128174828885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211128449402880,True
121,1211128280290283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211128449359598,True
122,1211128449412025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211128448755606,True
123,1211128174007740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211128280196759,True
126,1211119510698122,A0059215210,L1,L1,,-,M,,,17,,Stray Wait,01 year(s) 06 month(s) 03 day(s),Dogs 064 A1,,,,,,,,,,,,,,,,,,,,False,1211119510230624,True
128,1211119355496612,A0059211824,L1,L1,,-,M,,,7,,Microchip,04 year(s) 00 month(s) 04 day(s),Dogs 068 C1,,,,,,,,,,,,,,,,,,,,False,1211119631105947,True
139,1211109319469534,A0059208023,L1,L1-RN,,-,M,,,26,,Identifying Info,04 year(s) 00 month(s) 04 day(s),Dogs 079 A5,,,,,,,,,,,,,,,,,,,,False,1211109348343235,True
140,1211109317740867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211109218126892,True
143,1211109320200474,A0059205432,L1,L1,,-,M,,,82,,Stray Wait,03 year(s) 00 month(s) 05 day(s),Dogs 401 8,,,,,,,,,,,,,,,,,,,,False,1211109320043250,True
148,1211109343243241,A0059204484,L1,L1,,-,F,,,23,,Microchip,05 year(s) 00 month(s) 04 day(s),Dogs 079 A1,,,,,,,,,,,,,,,,,,,,False,1211109317897240,True
151,1211098092722757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211098025626941,True
154,1211098117336791,A0059195704,L1,L1,,-,M,,,11,,Adopted,None,Clinic Clinic,,,,,,,,,,,,,,,,,,,,False,1211098025742263,True
158,1211087275724508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211087329670730,True
166,1211072249777677,A0059124885,L2,L2-BH,,-,S,,,16,,Adopted,05 year(s) 00 month(s) 08 day(s),Small Animals 4,,,,,,,,,,,,,,,,,,,,False,1211072316902710,True
168,1211072316272457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211072316575068,True
179,1211069988586474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211070094978679,True
182,1211069988303879,A0059116111,L2,L2-BH,,-,M,,,14,,Identifying Info,02 year(s) 00 month(s) 09 day(s),Clinic Clinic,,,,,,,,,,,,,,,,,,,,False,1211070094672196,True
