,gid_x,Animal ID_x,Level_x,Level Reason_x,Special Intake Information_x,HW_x,Sex_x,Microchip ID_x,Rabies Revaccination Date_x,Weight_x,Hold_x,Current Status_x,Age_x,Location_x,Short URL_x,Foster Start Reason_x,Leash Skills_x,Dog Interaction_x,Cat Interaction_x,Kid Interaction_x,Crate Trained_x,Potty Skills_x,Cuddle Meter_x,Energy/Activity Level_x,DOB_x,IntakeDate_x,Color & Breed_x,More about me_x,Play Style_x,Playgroup Notes_x,"""Dog Test"" Notes_x",Behavior Notes_x,Foster/Home Notes_x,completed_x,parent gid,parent completed,gid_y,Animal ID_y,Level_y,Level Reason_y,Special Intake Information_y,HW_y,Sex_y,Microchip ID_y,Rabies Revaccination Date_y,Weight_y,Hold_y,Current Status_y,Age_y,Location_y,Short URL_y,Foster Start Reason_y,Leash Skills_y,Dog Interaction_y,Cat Interaction_y,Kid Interaction_y,Crate Trained_y,Potty Skills_y,Cuddle Meter_y,Energy/Activity Level_y,DOB_y,IntakeDate_y,Color & Breed_y,More about me_y,Play Style_y,Playgroup Notes_y,"""Dog Test"" Notes_y",Behavior Notes_y,Foster/Home Notes_y,completed_y,AnimalID,CurrentStatus,LevelReason
0,1206398747849450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1206386867201919,False,1206386867201919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
1,1206398747849468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1206386867201919,False,1206386867201919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
2,1206398747861283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1206386867201919,False,1206386867201919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,
3,1211179520215738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211179381346831,False,1211179381346831,A0059259068,,,,,M,,,0,,Stray Wait,,Receiving 130 10,,,,,,,,,,,,8/28/2025," White Mixed Breed, Small (under 24 lbs fully grown) / Mix",,,,,,,False,A0059259068,Stray Wait,
4,1211179520215760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211179381346831,False,1211179381346831,A0059259068,,,,,M,,,0,,Stray Wait,,Receiving 130 10,,,,,,,,,,,,8/28/2025," White Mixed Breed, Small (under 24 lbs fully grown) / Mix",,,,,,,False,A0059259068,Stray Wait,
5,1211179521464270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211179381346831,False,1211179381346831,A0059259068,,,,,M,,,0,,Stray Wait,,Receiving 130 10,,,,,,,,,,,,8/28/2025," White Mixed Breed, Small (under 24 lbs fully grown) / Mix",,,,,,,False,A0059259068,Stray Wait,
6,1211179383174766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211179456656354,False,1211179456656354,A0059258400,,,,,F,,,0,,Available,,Receiving 130 17,,,,,,,,,,,,8/28/2025," Bronze Mixed Breed, Medium (up to 44 lbs fully grown) / Mix",,,,,,,False,A0059258400,Available,
7,1211179383407953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211179456656354,False,1211179456656354,A0059258400,,,,,F,,,0,,Available,,Receiving 130 17,,,,,,,,,,,,8/28/2025," Bronze Mixed Breed, Medium (up to 44 lbs fully grown) / Mix",,,,,,,False,A0059258400,Available,
8,1211179383407963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211179456656354,False,1211179456656354,A0059258400,,,,,F,,,0,,Available,,Receiving 130 17,,,,,,,,,,,,8/28/2025," Bronze Mixed Breed, Medium (up to 44 lbs fully grown) / Mix",,,,,,,False,A0059258400,Available,
9,1211179518484211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211179383246094,False,1211179383246094,A0059261659,,,,,M,,,0,,Stray Wait,,Receiving 130 Crate,,,,,,,,,,,,8/28/2025," Brown Terrier, Pit Bull / Mix",,,,,,,False,A0059261659,Stray Wait,
10,1211179518484233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211179383246094,False,1211179383246094,A0059261659,,,,,M,,,0,,Stray Wait,,Receiving 130 Crate,,,,,,,,,,,,8/28/2025," Brown Terrier, Pit Bull / Mix",,,,,,,False,A0059261659,Stray Wait,
11,1211179521214564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211179383246094,False,1211179383246094,A0059261659,,,,,M,,,0,,Stray Wait,,Receiving 130 Crate,,,,,,,,,,,,8/28/2025," Brown Terrier, Pit Bull / Mix",,,,,,,False,A0059261659,Stray Wait,
12,1211179517336728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211179379966012,False,1211179379966012,A0059261687,,,,,F,,,0,Identifying Info,Identifying Info,,Receiving 130 Crate,,,,,,,,,,,,8/28/2025," Black Mixed Breed, Medium (up to 44 lbs fully grown) / Mix",,,,,,,False,A0059261687,Identifying Info,
13,1211179521205295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211179379966012,False,1211179379966012,A0059261687,,,,,F,,,0,Identifying Info,Identifying Info,,Receiving 130 Crate,,,,,,,,,,,,8/28/2025," Black Mixed Breed, Medium (up to 44 lbs fully grown) / Mix",,,,,,,False,A0059261687,Identifying Info,
14,1211179521205305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211179379966012,False,1211179379966012,A0059261687,,,,,F,,,0,Identifying Info,Identifying Info,,Receiving 130 Crate,,,,,,,,,,,,8/28/2025," Black Mixed Breed, Medium (up to 44 lbs fully grown) / Mix",,,,,,,False,A0059261687,Identifying Info,
15,1211179456468126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211179381346928,False,1211179381346928,A0059259378,STAFF ONLY,STAFF ONLY2025001753,,,F,,,0,Court Mandate,Court,05 year(s) 06 month(s) 18 day(s),Dogs 203 8,,,,,,,,,,,2/11/2020,8/28/2025, Black / Brown Rottweiler,,,,,,,False,A0059259378,Court,STAFF ONLY2025001753
16,1211179456468148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211179381346928,False,1211179381346928,A0059259378,STAFF ONLY,STAFF ONLY2025001753,,,F,,,0,Court Mandate,Court,05 year(s) 06 month(s) 18 day(s),Dogs 203 8,,,,,,,,,,,2/11/2020,8/28/2025, Black / Brown Rottweiler,,,,,,,False,A0059259378,Court,STAFF ONLY2025001753
17,1211179456810845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211179381346928,False,1211179381346928,A0059259378,STAFF ONLY,STAFF ONLY2025001753,,,F,,,0,Court Mandate,Court,05 year(s) 06 month(s) 18 day(s),Dogs 203 8,,,,,,,,,,,2/11/2020,8/28/2025, Black / Brown Rottweiler,,,,,,,False,A0059259378,Court,STAFF ONLY2025001753
