,gid,Animal ID,Level,Level Reason,Special Intake Information,HW,Sex,Microchip ID,Rabies Revaccination Date,Weight,Hold,Current Status,Age,Location,Short URL,Foster Start Reason,Leash Skills,Dog Interaction,Cat Interaction,Kid Interaction,Crate Trained,Potty Skills,Cuddle Meter,Energy/Activity Level,DOB,IntakeDate,Color & Breed,More about me,Play Style,Playgroup Notes,"""Dog Test"" Notes",Behavior Notes,Foster/Home Notes,completed,parent gid,parent completed
43,1211168044972853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
52,1211157511480702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
61,1211157476628091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
119,1211128280181180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
129,1211119355245004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
144,1211109214871528,A0059205673,STAFF ONLY,STAFF ONLY,,+,F,,,0,,Stray Wait,None,Dogs 203 6,,,,,,,,,,,,,,,,,,,,False,,
176,1211070039898436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
177,1211069988386255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
180,1211070039698851,A0059117681,L2,L2-BH,,+,S,,,8,,Available,14 year(s) 00 month(s) 02 day(s),Dog Intake 128.02,,,,,,,,,,,,,,,,,,,,False,,
209,1211051749264800,A0059101335,STAFF ONLY,STAFF ONLY,,-,M,,,52,,Pending Behavior Assessment,01 year(s) 06 month(s) 11 day(s),Dogs 203 1,,,,,,,,,,,,,,,,,,,,False,,
217,1211051635588687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
259,1210934205211950,A0058999821,STAFF ONLY,STAFF ONLY,,-,M,,,47,,Pending Behavior Assessment,02 year(s) 00 month(s) 27 day(s),Dogs 203 2,,,,,,,,,,,,,,,,,,,,False,,
279,1210807084402011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
450,1211168045460693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
464,1211157511480724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
466,1211157476628113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
539,1211128280529677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
556,1211119355245026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
570,1211109219557935,A0059205673,STAFF ONLY,STAFF ONLY,,+,F,,,0,,Stray Wait,None,Dogs 203 6,,,,,,,,,,,,,,,,,,,,False,,
629,1211070039898458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
630,1211069988771759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
634,1211070039698873,A0059117681,L2,L2-BH,,+,S,,,8,,Available,14 year(s) 00 month(s) 02 day(s),Dog Intake 128.02,,,,,,,,,,,,,,,,,,,,False,,
676,1211051749264822,A0059101335,STAFF ONLY,STAFF ONLY,,-,M,,,52,,Pending Behavior Assessment,01 year(s) 06 month(s) 11 day(s),Dogs 203 1,,,,,,,,,,,,,,,,,,,,False,,
690,1211051635792132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
717,1211030183373109,A0059089540,L3,L3-SF/BR,,-,F,,,68,,Priority,03 year(s) 00 month(s) 13 day(s),Dogs 502 2,,,,,,,,,,,,,,,,,,,,False,,
828,1210934206946389,A0058999821,STAFF ONLY,STAFF ONLY,,-,M,,,47,,Pending Behavior Assessment,02 year(s) 00 month(s) 27 day(s),Dogs 203 2,,,,,,,,,,,,,,,,,,,,False,,
892,1210842309965230,A0058943550,L2,L2 - RG/BR,,-,N,,,46,,Priority,08 year(s) 01 month(s) 05 day(s),Dogs 501 5,,,,,,,,,,,,,,,,,,,,False,,
923,1210807087414314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
991,1210721775069512,A0058843976,STAFF ONLY,STAFF ONLY,,-,F,,,67,,Bite Quarantine - Not Visible,05 year(s) 01 month(s) 20 day(s),Dogs 203 8,,,,,,,,,,,,,,,,,,,,False,,
999,1210692465331713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
1354,1211168045460703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
1365,1211157513501788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
1366,1211157477323578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
1442,1211128280529687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
