,AnimalNumberDT,DogTest
0,A0053300757,8/12/2025 Very excited in the catchpin. Came in with lots of play bows and a wagging tail. Very tolerant. Rockstar.
1,A0053588993,"9/12/2025 neutral gate greeting, grunted and corrected others when jumped on, stayed to herself and did not engage in play."
2,A0053591163,"5/2/2025 handler oriented. overcorrected joan and goliath - listened to verbal correction from amber. appears under socialized. would start in g/d due to curiosity, may graduate to p/p with gained confidence"
3,A0053596658,"5/23/2025 loose body language at gate, offered kisses to dogs in the yard. offered appropriate corrections when interaction was above his energy threshold. concern of poss. possessive behavior with handlers? "
4,A0053600299,"6/18/2025 barrier reactive - needs to be kept away from fence when new dogs enter yard. did great with a variety of dogs/energy levels. greeted dogs w high tail, initiated play with plankton and then was the life of the party for the duration of his time outside. tolerant of dogs attempting to mount him, loved laying in the pool and was ok to share it with plankton. chocolate shake was brought out and was the only dog chrome had a hard time with - choc shake showed no interest in the other dogs and while she was hanging out by the fence alone, chrome jumped on her and began growling. was quickly removed so hard to determine trigger or if behavior was misinterpreted as offensive. "
5,A0053601345,"8/10/2025 Steerable, very sweet and gentle player but removed only due to the fact that he wouldn’t stop humping Foresight. Sexually motivated towards male dogs but not females. "
6,A0053612126,"nan

8/18/2025 Needs slow intros. She came into the yard with a little bit of interest in the other dogs with a low wagging tail, but had zero interest in playing. Just an older lady who likes to coexist but could potentially become more interested in dogs with socialization."
7,A0053613541,"9/12/2025 neutral greeting with dogs, did not seem very interested in interaction but coexisted well. offered very appropriate correction when general sam attempted to mount her. "
8,A0053615028,"9/12/2025 good greeting with other dogs, broad wagging tail. appears stiff but i think it's because he's an old man and not because he's not comfortable with interactions. super chill in the yard, throughout assessment he walked around the yard constantly and greeted other dogs, but didn't engage beyond greeting. "
9,A0053615474,9/28/2025 Honey preferred to roam the yard sniffing rather than play with the other dogs. She gave great corrections to higher energy dogs but never engaged.
10,A0053616951,"9/12/2025 neutral during in the yard greetings, tolerated a puppy in his face doing zoomies, never broke for play"
11,A0053618691,nan
12,A0053623485,"7/23/2025 okay to co exist with other dogs, did well with a larger group and was fine with dogs greeting her directly but overcorrected pippy when he lingered a bit too long. ineligible for pg due to injury, could live with other dogs"
13,A0053626727,"nan

8/10/2025 Very excited in the catchpin. Came into the yard friendly but cautious. Very tolerant of all the dogs. Very easy to correct and listens to both dogs and handlers."
14,A0053627251,9/20/2025 Kalm was a rockstar in the yard! Absolutely loved playing in the pool. She engaged well with all the dogs in the yard and was able to change her play style depending on the energy level. Going to use her as a helper/greeter due to her friendliness and ability to read the room.
15,A0053630131,"9/1/2025 Was informed by kennel staff that he likes to fence fight but did not observe any while he was waiting in the catch pen. Came in very timid and reserved, did not want the dogs approaching him, showed teeth and kept to himself along the fence. He seemed as if he was about to tip from being overwhelmed and unsure."
16,A0053630143,nan
17,A0053631354,"9/28/2025 Princess initially came in hot and ready to play but quickly got overwhelmed when dogs bigger than her came around, but she still remained to show positive body language. The longer she was in the yard the more she opened up. Very soft player and was great at reading the room. New helper/greeter"
18,A0053633954,"8/29/2025 intolerant of dogs sniffing her butt, offered strong corrections when lyric and dutch attempted to play with her, but then attempted to engage in play with lilith and butter, who did not want to play. "
19,A0053635126,"9/20/2025 Needs a lower energy play yard as she can get over stimulated and over correct. She was slightly stiff at first but the other dogs in the yard gave her time to warm up and let her decide when she wanted to engage with them. She ran around, offered play bows and even body slammed a few dogs. She wants to be a gentle physical player! She was barrier reactive when walking up to the yard, as well as when she saw other dogs get too close to the fence while she was in the yard. Overall friendly, she just needs a more controlled yard. "
20,A0053636497,9/20/2025 showed some interest in mounting the dogs in the yard but was otherwise very bouncy and playful. VERY steerable
21,A0053824318,9/28/2025 Jenna came into the yard very playful. Shes very spunky and rotates from energetic play to being chill and walking around. Very adaptive to the dogs around her.
