"AnimalNumber","AnimalType","AnimalName","Age","ColorAndBreed","Stage","Location","SubLocation","DateOfBirth","Sex","AnimalWeight","NumberOfPictures","IntakeDateTime","ARN","MicrochipNumber"
"A0053293515","Dog","HERCULES","11 year(s) 03 month(s) 25 day(s)"," Grey Terrier, Pit Bull / Mix","Court","Dogs 203","6","12/8/2014 12:00 AM","M","85","3","10/24/2024 06:33 PM","L1",""
"A0053300757","Dog","XANDER","10 year(s) 01 month(s) 10 day(s)"," Grey / White Terrier, American Pit Bull / Mix","Available","Foster","Foster Home","2/23/2016 12:00 AM","N","63","3","3/25/2025 12:54 PM","L1 A486212","985112007713589"
"A0053596658","Dog","MARTIN","07 year(s) 09 month(s) 08 day(s)"," Grey Terrier, Pit Bull / Mix","Available","Foster","Foster Home","6/25/2018 12:00 AM","N","47","3","4/30/2025 12:55 PM","L1-A857655","985112010484541"
"A0053600138","Dog","STARLET- ADOPTED","10 year(s) 01 month(s) 15 day(s)"," Brown / White Terrier, Pit Bull / Mix","Trial Adoption","Foster","Trial Adoption","2/18/2016 12:00 AM","S","29.2","1","2/9/2026 12:30 PM","L1","982126055022099"
"A0053600299","Dog","CHROME","07 year(s) 09 month(s) 19 day(s)"," Brown Terrier, American Pit Bull / Mix","Available","Foster","Foster Home","6/14/2018 12:00 AM","N","48","3","3/27/2025 01:37 PM","L1   A861769","982126055026199"
"A0053603468","Dog","ZLATA","09 year(s) 11 month(s) 25 day(s)"," Brown Terrier, American Pit Bull / Mix","Available","Foster","Foster Home","4/8/2016 12:00 AM","S","42","3","3/24/2024 03:39 PM","L2-LB",""
"A0053604480","Cat","Blade -ADOPTED","07 year(s) 06 month(s) 22 day(s)","Tabby Orange Domestic Shorthair / Mix","Adopted","Foster","Trial Adoption","9/11/2018 12:00 AM","N","11.26","1","3/13/2026 11:49 AM","L1","982126055392590"
"A0053605629","Dog","COCO","08 year(s) 06 month(s) 23 day(s)"," Chocolate Terrier, American Pit Bull / Mix","Priority","Dogs 403","A4","9/10/2017 12:00 AM","S","50","3","1/22/2026 03:04 PM","L1-H","981020021274336"
"A0053610785","Dog","Striker","08 year(s) 05 month(s) 15 day(s)"," White Bulldog, American / Mix","Microchip","Dogs 406","B6","10/18/2017 12:00 AM","N","61","3","3/26/2026 02:02 PM","L1","982126058916951"
"A0053612126","Dog","PRINCESS","07 year(s) 09 month(s) 30 day(s)"," Grey Terrier, American Pit Bull / Mix","Available","Foster","Foster Home","6/3/2018 12:00 AM","S","67","3","6/9/2025 05:34 PM","L1-A873957","982126058918920"
"A0053613954","Dog","QUEEN","06 year(s) 07 month(s) 02 day(s)"," Brown Terrier, American Pit Bull / Mix","Priority","Dogs 602","6","8/31/2019 12:00 AM","S","36","3","1/3/2026 04:19 PM","L2-SF/BH","982126059832018"
"A0053614849","Dog","HICKORY","06 year(s) 05 month(s) 20 day(s)"," Brown Terrier, Pit Bull / Mix","Priority","Dogs 088","B7","10/13/2019 12:00 AM","N","45.8","3","1/16/2026 02:56 PM","L1        A877187","982091061976774"
"A0053615127","Dog","Miss Girl","06 year(s) 06 month(s) 03 day(s)"," Black / White Terrier, American Pit Bull / Mix","Available","Foster","Foster Home","9/30/2019 12:00 AM","S","51.2","3","2/21/2026 04:15 PM","L1-A876919","982126059842251"
"A0053615474","Dog","Honey","08 year(s) 05 month(s) 30 day(s)"," Tan Retriever, Labrador / Mix","Priority","Dogs 303","B2","10/3/2017 12:00 AM","S","51.2","3","3/27/2026 12:23 PM","L3-RG/BH/H","982091061981724"
"A0053618691","Dog","JOHN","08 year(s) 00 month(s) 06 day(s)"," Brown Terrier, American Pit Bull / Mix","Available","Foster","Foster Home","3/27/2018 12:00 AM","N","74","3","7/21/2025 02:27 PM","L1- A880593","982091062092197"
"A0053620268","Dog","BLADE","05 year(s) 09 month(s) 03 day(s)"," Brown Cur, Black-Mouth / Mix","Cites","Dogs 303","A3","6/30/2020 12:00 AM","N","58","3","3/3/2026 07:40 PM","L1-A882936","982091061627517"
"A0053621296","Dog","MERCY","08 year(s) 08 month(s) 11 day(s)"," White Terrier, American Pit Bull / Mix","Available","Foster","Foster Home","7/22/2017 12:00 AM","S","67","3","2/2/2023 04:55 PM","A883569","982091065868427"
"A0053623474","Dog","AMY","07 year(s) 06 month(s) 14 day(s)"," Brown / White Terrier, Pit Bull / Mix","Available","Foster","Foster Home","9/19/2018 12:00 AM","S","57.4","3","7/16/2025 02:21 PM","L1","982091066585821"
