,AnimalNumberPG,PlayGroup
0,A0053588993,nan
1,A0053613541,nan
2,A0053615028,nan
3,A0053615474,nan
4,A0053616951,nan
5,A0053627251,"nan

nan"
6,A0053631354,"nan

nan"
7,A0053633954,"8/29/2025 does not like having her butt sniffed, has a space bubble. would recommend bringing out to group first to allow her to adjust to each dog. becomes playful once comfortable"
8,A0053635126,nan
9,A0053636497,nan
10,A0053637006,"8/5/2024 Primary Handler:Secondary Handler:Runners:Scribe:Play Style:Sociability Category:Greeter/Helper: Significant Incidents:Notes:GD, SO/SE, SOFT, TOL GREETINGS, KTS  LEGEND: /= called for X= entered PG ACC=acclimate; ANX= anxious; ASV= assertive; B=black; BR= barrier RV; BRI= brindle; BT= bobtail; C= corrections; CD= conflict driven; CE = cropped ears; CPR=cont., play, recover; CT= curly tail; D= defensive; DSP= displaced; F= female; FE= folded ears; FRL= fearful; FT= fight; G= greeter; GD= gentle/dainty; H= helper; HE= high energy; HH= handler helper;HM= hall monitor; IH= in heat; INT = intolerant; KMS= kick me sign; LH= long-haired; M= male; MD = mama dog; MRL= merle; MW= muzzle work; O= offensive; OBX= obnoxious; OC=over-corrects; OLR= on-leash RV; OR= over reacts; OS= surrender; P= puppy; PE = prick ears; PFL= playful; PL= prey-like; PP= push/pull; RD= redirected; RG= resource guarder; RM= roommate; RR=rough/rowdy; RS = ROCK STAR :) ; RV= reactive; S= small dog; SA= separation anxiety; SCI= stimulus control issue; SD= seek/destroy; SE=selective; SM= sexually motivated; SO = social; SS= soundsensitive; ST= stray; T= tolerant; TG= territorial guarding; UD= uninterruptible drive; UNS= unsocialized; UP= unpredictable; V= vocal; W= white; WG= warnings; WH = wire haired; WOS= wary ofstrangers

8/5/2024 DPFL Playgroup 7/31 - tolerant / selective  - kept to self, greeted other dogs, minorly stiff, no play

8/21/2024 tested with sadie, dani, haribo, huey, darvis; excited gate greeting, marked multiple times in yard, attempted to mount dani - listened extremely well to corrections and would ""shake it off"" after accepting correction. avoided huey when huey attempted to initiate play - played bowed at dani ~ poss. size selective; did not display negative behaviors towards huey aside from avoidance. p/p playstyleruni had been in playgroup for 20 minutes with no negative beh when darvis was brought out. due to beh noted at gate, darvis was brought into yard w muzzle. darvis attempted multiple times to mount runi and did not respond to corrections from runi or staff. runi escalated corrections and grabbed hold of darvis' face/muzzle/collar. dogs tussled in yard for about a minute before being separated by bite stick. runi was placed in catch pin to cool off and darvis was removed from the yard. while in catch pin runi was observed ""shaking it off"", yawning, and sniffed around the catch pin, so he was allowed to come back into playgroup where he remained calm and interacted well with dani, haribo, and huey. -gillian flebbe"
11,A0053824318,nan
12,A0055406871,nan
13,A0055538889,9/20/2025 would be aware of what size/sex dogs are in the yard with him
14,A0055579826,nan
15,A0055675268,"10/23/2024 Primary Handler: MariSecondary Handler: GillianRunners: Kate/Vol/JayScribe: Chris-MariePlay Style: RRSociability Category: SocialGreeter/Helper: no, noSignificant Incidents: noneRR, very steerable, super fun!"
16,A0055857982,"8/21/2024 tested with sadie, haribo, darvis, runi, huey; puppy energy, uninterested initially, play bowed to all dogs in the yard, ignored corrections from haribo, listened to staff assisted corrections. p/p playstyle - might do well in r/r group. -gillian flebbe"
17,A0056025635,12/22/2024 Rick Sanchez was partnered with Monica for dog assessments on 12/16/24. Rick was very neutral and a bit aloof. Gentle/Dainty playstyle. He did not do well with high energy dogs but did well with other chill dogs 
18,A0056223206,"8/2/2024 Notes from 8/2 PG - social/seective - stiff interactions, minorly playful"
19,A0056262476,"8/2/2024 Notes from 8/2 PG - KTS (learning what this means), steerable, tolerant of greetings, tolerant / selective"
20,A0056373956,nan
21,A0056388664,"8/2/2024 Notes from 8/2 PG - rough/rowdy, social, potential helper - playful, steerable, gave corrections. "
22,A0056503718,8/23/2024 Great helper dog. Gentle play style. 
23,A0056507497,"8/27/2024 Primary Handler: LRSecondary Handler: SPRunners: 0Scribe: SP/LRPlay Style: Sociability Category: SelectiveGreeter/Helper: NoSignificant Incidents: NoSexually Motivated, has curly tail, odd body language "
24,A0056513366,"nan

nan"
