,gid,Animal ID,Level,Level Reason,Special Intake Information,HW,Sex,Microchip ID,Rabies Revaccination Date,Weight,Hold,Current Status,Age,Location,Short URL,Foster Start Reason,Leash Skills,Dog Interaction,Cat Interaction,Kid Interaction,Crate Trained,Potty Skills,Cuddle Meter,Energy/Activity Level,DOB,IntakeDate,Color & Breed,More about me,Play Style,Playgroup Notes,"""Dog Test"" Notes",Behavior Notes,Foster/Home Notes,completed,name
0,1210596822560499,A0058740777,L1,L1,,-,N,941010003906087,7/5/2026,58,,Available,01 year(s) 06 month(s) 22 day(s),Dogs 503 A6,https://bit.ly/Adopt_Bond,,,,,,,,"Play first, then snuggle time",4-High energy,6/19/2024,6/18/2025," White / Brown Terrier, Pit Bull / Mix",Loves toys,,,nan,"6/19/2025 easily handled while in intake and during exam.

12/24/2025 easily handled while in intake and during exam.",,False,Bond
1,1210863967149831,A0058954006,L1,L1,,+,M,941010003692960,,67,,Available,03 year(s) 00 month(s) 22 day(s),Dogs 306 A2,,,Strong puller,,,,,,,,7/22/2022,7/21/2025," Tan / White Terrier, Pit Bull / Mix",,Inconclusive,,"nan

8/5/2025 Needs to be neutered. Was friendly but very sexually motivated and it would take a while to redirect him from mounting.","7/22/2025 easily handled

7/26/2025 Showing signs of kennel stress - constant barking",,True,Spark-ADOPTED
2,1210029667321888,A0058340458,L2,L2-LB,,-,M,941010003640495,4/24/2026,50,,Available,03 year(s) 02 month(s) 06 day(s),Featured Dogs 55,https://bit.ly/Adopt-Pringle,,Pulls some but manageable,,,,,,"Play first, then snuggle time",,We,4/19/2025," Tan / White Terrier, American Pit Bull / Mix",,Helper/Greeter,5/28/2025 very social and friendly. can be a little humpy but listens to corrections ,"5/1/2025 loose body language, entered the yard confidently. mutual greetings between the testers and him. showed interest in playing but appeared to be waiting for daisy to initiate. ","4/20/2025 easily handled in the kennel and during the intake exam. 

6/8/2025 Staff reporting increasing leash biting behavior on walk through. Jessica stated Pringle holds onto the leash while walking out to the yards. Leveling to L2 LB 

6/17/2025 Volunteer 6/16Requesting a reassessment of Pringle LB designation.  Taking Pringle out, he only showed 2 instances of trying to go for the leash, but was easily redirected with a firm voice and with treats. He is not keen to keep a toy in his mouth, but is extremely treat motived.  Spending time with him in the matter of minutes, he showed he can control his leash biting behavior and will sit for treats.  Videos attached to his Asana card show the progression of him learning not to instinctively try to jump and ""snap"" or ""bite"" - all during the same day.  He is jumpy, so maybe JM is a better designation, but it seems with repeated practice of sit and down, his behavior can be modified. To put it into perspective, his LB (potential JM) behavior is not Atlas level or Fidget Spinner level, but I do think L2 in general is accurate until more folks can help work on his sit/down and him learning to be more calm than jumpy/eager.",,True,PRINGLE
3,1207691009973345,A0056262476,L2,L2 - RG,,-,N,941010002250748,6/28/2025,50,Court Mandate,Court,02 year(s) 11 month(s) 09 day(s),Dog ISO 155 A1,https://bit.ly/AdoptMiracleGrace,,Pulls some but manageable,Has enjoyed interacting with other dogs,,,,,,,,6/28/2024," Tan Mixed Breed, Large (over 44 lbs fully grown) / Mix",,C-Selective,"8/2/2024 Notes from 8/2 PG - KTS (learning what this means), steerable, tolerant of greetings, tolerant / selective",,"11/10/2024 excited, happy

12/31/2024 Kennel staff Tari came to me to report behavior Miracle Grace was exhibiting. During feeding, kennel staff Troy was helping feed 306 while he fed Miracle Grace. When opening the kennel to slide her bowl inside, Tari stated Miracle Grace attempted to charge out at Troy. Both employees were alarmed, and Tari stated that Miracle had not displayed any other concerning behavior previously. Sending for behavior assessment to pathways

1/9/2025 Showing teeth, growling, trying to attack bowl during feeding. Has to be swapped during cleaning in kennels

1/9/2025 Staff member went to feed Miracle grace. He was tense when approached. Door was cracked to push food in, He then lunged at the door and bared teeth. No physical contact was made. However once the door was closed he continued to lunge.Staff member notes that food was sitting outside his kennel prior to feeding which may have heightened his reaction. When approached after this incident by 3 people he continued to growl and bare his teeth. Food was spilt when this occurred to which Miracle grace ate off the floor , after eating he did not lunge nor bare his teeth but he still growled and still seems to be tense. Has had prior incidents, regarding resource guarding.  Going to catch pole him to move , He did still present these same actions.Lunging , growling and baring his teeth when approached. Went in to catch pole and began biting the pole, However he was easily moved. Placing back in 200 for precaution to avoid any further incidents.

3/16/2025 Noted behavior on rounds. Routinely very quiet in run, secluded to corner or front of gate and laying down curled up. Does not stand when someone approaches, looks up without moving head much. Shut down.",,False,Miracle Grace
4,1208556041189251,A0057078055,L2,L2-LB,,+,S,941010002279968.0,11/23/2025,64,,Available,03 year(s) 06 month(s) 20 day(s),Featured Dogs 53,https://bit.ly/AdoptStarlight,,Pulls some but manageable,Has enjoyed interacting with other dogs,,,,Has done well in a home. ,,,,10/14/2024," Grey / White Mixed Breed, Large (over 44 lbs fully grown) / Mix",,Helper/Greeter,"1/26/2025 Starlight was in for assessment with Movado and Alaskan Bull Worm. Good gate greetings, steerable at the gate, and immediately tried to interact and play with Movado. Seek and destroy play style. Watch for equipment biting in the yard. Starlight immediately rolled over for pets when Lisa went to get her leash up. Recommend for the RR PG

1/28/2025 1/28/25 Playgroup: Joined a large R&R group and fit right in. We limited her time in the yard based on HW status. She did have a few instances of going after other dogs hardware. 

2/4/2025 Primary Handler: gillianSecondary Handler: amberRunners: ashley l, deshay, makaylaScribe: mariPlay Style: inc.Sociability Category: incGreeter/Helper: n/aSignificant Incidents: injured foot when walked out to group, needs retest.body language loose, steerable, good gg. retest when foot heals

nan",nan,"10/16/2024 Easily handled both in the kennel and during the exam.

1/27/2025 I went to take out Starlight for a Giardia swap. She was initially easily leashed, but once outside the kennel she began jumping out to leash bite. She did attempt to bite up the leash once or twice before I secured her again and unleashed her with a leash hook. Leveling to L2 LB.

3/8/2025 assessed with c. womack. displayed no leash biting. passed other dogs without reaction, and once in yard she displayed playful body language. jumped up on me to initiate play, and sat nicely when i pet her. displayed similar behavior when interacting with cindy. per cindy, ok to level down to L1. ",,True,Starlight
5,1209347588321542,A0057802551,L1,L1,,-,N,941010002984132.0,2/21/2026,63,,Available,03 year(s) 02 month(s) 29 day(s),Dogs 602 5,https://bit.ly/Adopt-Macon,,,Has enjoyed interacting with other dogs,,,,,,,2/5/2022,2/5/2025," Brown / White Terrier, Pit Bull / Mix",,Inconclusive,"3/11/2025 Primary Handler: gillianSecondary Handler: brittanyRunners: deshay, amari, devaunteScribe: amberPlay Style: push/pullGreeter/Helper: Significant Incidents: very loose wiggly boy. likes to give face kisses. continuously attempted to mount ralph after ralph offered corrections and handlers intervened. reassess after sxvery loose at the gate and loose immediately upon entry to yard. tail was wagging so hard when greeting dogs it was hitting his sides. he offered a bunch of kisses to ralph but after running around in the yard a bit kept attempting to mount ralph. was easy to call off but he continued his attempts incessantly. ",3/22/2025 retest after nx,2/6/2025 easily handled while in intake and during exam ,,True,Macon
6,1209688769479967,A0058019002,L3,L3-SF,,,M,,4/15/2026,53,,Available,,Dogs 303 B3,https://bit.ly/Adopt-jack,,Strong puller,,,,,,Let's get to know each other before cuddling,2-Medium energy,,3/14/2025," Grey / White Mixed Breed, Large (over 44 lbs fully grown) / Mix",,Inconclusive,,"4/12/2025 very friendly body language in catch pen, whined when clint eastwood walked away from the gate. upon entrance to the yard he showed zero interest in clint eastwood - ignored him completely for the duration of his assessment. marked every sq inch of the play yard and pulled very hard on leash. once out of the yard he began whining when clint eastwood walked past and displayed a broad wagging tail when clint approached the gate??? very weird, marking assessment as inconclusive until nx to see if beh changes. ","3/17/2025 Very scared in his kennel. Shaking, whale eyes, and hard staring when approached. Used a catch pole for a partial exam due to the extreme fear he is displaying. May come around over time.

3/25/2025 Shaking and very nervous to be leashed. Once in the play yard he was a bit aloof, pacing the yard, marking everything. Allowed for brief pets, otherwise very anxious. No issues re-kenneling.  Rec: Trazodone and re-evaluate

3/30/2025 Started Traz, recheck behavior 3/30 New not entered.

3/30/2025 neutral body language in his kennel, takes treats gently. was able to leash easily and walked to yard with little pressure on leash. once in yard was mainly interested in sniffing around but allowed me to pet his head and scratch behind his ears. dogs outside were very loud and he didn't pay much attention but i opted to cut the interaction short to reduce stressed. replaced in kennel with ease and removed the leash without incident. 

4/1/2025 Did not give any concerning behaviors nor did he seem to want attention.  Was pleasant, took treats gently, can be leashed and unleashed slowly without issue.  Did not walk around due to alot of volunteers walking outside and playgroups running/dogs in courtyards.  Leveling to L3-SF and will need to reexamine.  He is on trazadone which may be the reason he is so non-chalaunt- cw

4/28/2025 Brought to the clinic for URI, very sick, not eating or taking meds. Jack is very nervous/scared, just wanted to leave the whole time while in clinic. Had to be put on catch pole to get injections due to extreme fear. No aggression was shown, just fear/anxiety that could possibly lead to some behavior concerns.",,True,Jack
7,1209852418702933,A0058217645,L1,L1,,-,N,985112004394970.0,4/2/2026,41,,Available,06 year(s) 01 month(s) 11 day(s),Dogs 081 B8,https://bit.ly/adopt-Kramer,,,,,,,,,,3/31/2019,3/31/2025, Black / Tan German Shepherd / Mix,,Pending,4/15/2025 labeled as helper - was brought to yard with joan and became vocal with her. removed from tester dogs list. ok to go to playgroup ,"4/15/2025 awesome body language at the gate. eager to greet rose and birch. displayed helicopter tail when rose greeted him. upon entrance into yard he greeted both dogs very well, did not want his butt sniffed. no interest in playing, deflected birch's attempt to play well (literally pushed him back). very well socialized!! ",4/1/2025 easily handled while in intake and during exam,,True,Kramer
8,1209903612472027,A0058236778,L2,L2-OA,,-,S,941010003061610,4/7/2026,65,,Available,02 year(s) 03 month(s) 14 day(s),Dogs 501 8,https://bit.ly/AdoptNavi,,Walks politely on leash,Has enjoyed interacting with other dogs,,,,,,1 - Low energy,4/5/2023,4/2/2025," Grey / White Terrier, Pit Bull / Mix",,Inconclusive,,"4/15/2025 pregnant!! reassess after spay. neutral body language at gate. i entered the catch pen with her and she displayed much more excited body language when i interacted with her, then switched to lower energy neutral body when birch approached to greet through the gate. upon entrance to the yard she sniffed both rose and birch nicely but stiffened when birch attempted to play with her. he disengaged and ran around the yard on his own and i observed her side eye him with a lowered head. stiffened and kept an eye on him.  no negative incidents, social with dogs but waiting until after spay to reassess play style, if any","4/5/2025 very scared lots of kennel stress go slow while in intake able to leash and get to exam room with treats had to sit with her for a while but she would not come close and shys away from touch clinic assisted with intake muzzled for precaution signs of stress fear startles easily tense muscles ducking head shipping when vetted frigid whale eye during exam

7/10/2025 Vol W/U 7/10/2025LEVEL DOWN REQUEST! 4+ volunteers over a month have noted no shy/fearful behavior. She is very excited/eager and would benefit from more interaction as she is at-risk.7.12.25 Definitely not a L1 dog.  No SF seen at all but she is extremely OA and would benefit from runs every day or possibly PG if qualified.  She does not stop jumping and digs claws into skin and wants to grab on.  Scratches all over legs.  Possibly anxious to boot.  -L2-OA ",,True,Navi-ADOPTED
9,1209903614134704,A0058237082,L2,L2-SF,,+,N,941010002931401.0,4/9/2026,89,,Available,04 year(s) 01 month(s) 24 day(s),Dogs 406 A6,https://bit.ly/Adopt_Armond,,,,,,,,,,4/3/2021,4/3/2025," Brown Terrier, Pit Bull / Mix",,Cafe,,5/27/2025 neutral body with a broad slow tail at the gate. was tolerant of hawaiian punch being in his business checking him out. a bit looser when engaging with daisy - daisy rolled over and exposed her belly and armond approached to check her out but remained neutral and was okay sharing space with hawaiian punch as he also checked daisy out. pretty chill guy,"4/4/2025 Nervous and frozen in the kennel. Moved slowly to leash (showed no signs of aggression, just frozen). Opened up a bit in the exam room but still timid. Was easily handled. ",,True,Armond
