,gid,Level,Current Status,Location,IntakeDate,Level Reason,Special Intake Information,HW,Sex,Animal ID,Microchip ID,Rabies Revaccination Date,Weight,Hold,Age,Short URL,Foster Start Reason,Leash Skills,Dog Interaction,Cat Interaction,Kid Interaction,Crate Trained,Potty Skills,Cuddle Meter,Energy/Activity Level,DOB,Color & Breed,More about me,Play Style,Playgroup Notes,"""Dog Test"" Notes",Behavior Notes,Foster/Home Notes,completed,parent gid,parent completed
0,1211797983483958,L1,Available,Flex 84,,L1-EA,,-,N,A0059410538,,,59,,01 year(s) 00 month(s) 18 day(s),,,,,,,,,,,,,,,,,,,False,1211434871568619,False
1,1211892160045303,L1,Available,Flex 84,,L1-EA,,-,N,A0059410538,,,59,,01 year(s) 00 month(s) 18 day(s),,,,,,,,,,,,,,,,,,,False,1211434871568619,False
2,1211798098788102,L1,Available,Flex 84,,L1-EA,,-,N,A0059410515,,,57,,01 year(s) 00 month(s) 18 day(s),,,,,,,,,,,,,,,,,,,False,1211434916540633,False
3,1211892542675182,L2,Available,Flex 83,,L2 - A,,-,F,A0059668668,,,59,,02 year(s) 06 month(s) 15 day(s),,,,,,,,,,,,,,,,,,,False,1211746996803300,False
4,1211816052221192,L1,Available,Flex 83,,L1     A889611,,-,S,A0053627105,,,66,,04 year(s) 03 month(s) 23 day(s),,,,,,,,,,,,,,,,,,,False,1211747154756832,False
5,1211892756664817,L2,Cites,Flex 85,,L2-SF,,-,F,A0059675890,,,85,,13 year(s) 00 month(s) 15 day(s),,,,,,,,,,,,,,,,,,,False,1211752654734889,False
6,1211892680463933,L2,Cites,Flex 85,,L2-SF,,+,F,A0059675889,,,72,,10 year(s) 00 month(s) 15 day(s),,,,,,,,,,,,,,,,,,,False,1211752654734857,False
7,1211881503947166,L1,Available,Flex 82,,L1,,-,M,A0059106777,,,23,,00 year(s) 10 month(s) 25 day(s),,,,,,,,,,,,,,,,,,,False,1211061447053239,False
8,1211870038157612,L1,Available,Featured Dogs 58,,L1,,-,M,A0059445380,,,45,,01 year(s) 01 month(s) 13 day(s),,,,,,,,,,,,,,,,,,,False,1211486823578306,False
9,1211737310164948,L1,Available,Featured Dogs 55,,L1,,-,M,A0059650081,,,41,,01 year(s) 00 month(s) 19 day(s),,,,,,,,,,,,,,,,,,,False,1211713470352632,False
10,1211893026998486,L1,Available,Featured Dogs 52,,L1,,-,S,A0056931859,,,45,,03 year(s) 01 month(s) 19 day(s),,,,,,,,,,,,,,,,,,,False,1208368017143628,False
11,1211888805829940,L1,Available,Featured Dogs 54,,L1,,-,F,A0059320626,,,67,,03 year(s) 02 month(s) 01 day(s),,,,,,,,,,,,,,,,,,,False,1211298559400165,False
12,1211903339310906,L1,Available,Featured Dogs 57,,L1,,-,S,A0059688884,,,39,,05 year(s) 00 month(s) 12 day(s),,,,,,,,,,,,,,,,,,,False,1211779539499949,False
13,1211857537427563,L1,Available,Featured Dogs 59,,L1,,+,S,A0059600493,,,41,,05 year(s) 00 month(s) 26 day(s),,,,,,,,,,,,,,,,,,,False,1211645105302049,False
14,1211856091508528,L1,Priority,Featured Dogs 56,,L1,,-,N,A0059589128,,,55,,01 year(s) 00 month(s) 29 day(s),,,,,,,,,,,,,,,,,,,False,1211621023443593,False
15,1211816806004624,L1,Available,Featured Dogs 53,,L1,,+,N,A0058916951,,,63,,04 year(s) 03 month(s) 25 day(s),,,,,,,,,,,,,,,,,,,False,1210807087231838,False
16,1211838530471075,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211725830992864,False
17,1211842916477153,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211645085380630,False
18,1211869612512738,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1211379972135056,False
19,1211812731120653,L1,Available,Dogs 088 B6,,L1,,-,F,A0059414016,,,36,,00 year(s) 10 month(s) 17 day(s),,,,,,,,,,,,,,,,,,,False,1211462628059286,False
20,1211888843043342,L1,Available,Dogs 068 B2,,L1,,-,S,A0059418705,,,43,,01 year(s) 01 month(s) 17 day(s),,,,,,,,,,,,,,,,,,,False,1211462710922473,False
21,1211889388427390,L1,Available,Dogs 079 B4,,L1,,-,F,A0059423131,,,42,,03 year(s) 01 month(s) 16 day(s),,,,,,,,,,,,,,,,,,,False,1211473907312632,False
22,1211892302269527,L2,Priority,Dogs 067 B5,,L2 - BH,,-,F,A0059304406,,,50,,01 year(s) 02 month(s) 05 day(s),,,,,,,,,,,,,,,,,,,False,1211484197789226,False
23,1211853481719329,L1,Available,Dogs 088 A3,,L1,,+,M,A0059448413,,,57,,02 year(s) 01 month(s) 12 day(s),,,,,,,,,,,,,,,,,,,False,1211490208472413,False
24,1211892898926287,L1,Priority,Dogs 064 B2,,L1,,-,F,A0059442981,,,47,,03 year(s) 01 month(s) 13 day(s),,,,,,,,,,,,,,,,,,,False,1211486532759228,False
25,1211851672673936,L1,Priority,Dogs 081 B7,,L1    A880690,,-,S,A0053617873,,,42,,06 year(s) 01 month(s) 09 day(s),,,,,,,,,,,,,,,,,,,False,1211517882135597,False
26,1211812403135310,L1,Available,Dogs 081 A3,,L1,,-,M,A0059533557,,,46,,01 year(s) 01 month(s) 07 day(s),,,Pulls some but manageable,,,,,,,,,,,,,,,,False,1211549935851387,False
27,1211892731116818,L1,Priority,Dogs 064 B1,,L1,,-,F,A0059273417,,,45,,03 year(s) 02 month(s) 09 day(s),,,,,,,,,,,,,,,,,,,False,1211193595515590,False
28,1211903498334248,L2,Priority,Dogs 068 A5,,L2-SF,,-,M,A0059458506,,,40,,01 year(s) 00 month(s) 09 day(s),,,,,,,,,,,,,,,,,,,False,1211528986952984,False
29,1211892700070314,L1,Available,Dogs 079 B2,,L1,,+,F,A0059542692,,,38,,02 year(s) 01 month(s) 05 day(s),,,,,,,,,,,,,,,,,,,False,1211552352824181,False
30,1211854841679514,L1,Priority,Dogs 066 A6,,L1,,+,M,A0059427660,,,64,,02 year(s) 01 month(s) 16 day(s),,,,,,,,,,,,,,,,,,,False,1211473907757779,False
31,1211816830866795,L1,Trial Adoption,Dogs 088 A5,,L1,,-,M,A0059545760,,,36,,00 year(s) 10 month(s) 04 day(s),,,,,,,,,,,,,,,,,,,False,1211556792504192,False
32,1211816993104860,L1,Available,Dogs 081 B4,,L1,,-,F,A0059549728,,,49,,00 year(s) 10 month(s) 18 day(s),,,,,,,,,,,,,,,,,,,False,1211572391225617,False
33,1211892033258834,L1,Available,Dogs 081 B2,,L1,,-,F,A0059557422,,,39,,01 year(s) 01 month(s) 02 day(s),,,,,,,,,,,,,,,,,,,False,1211583871507508,False
34,1211807115347217,L2,Priority,Dogs 066 B6,,L2-SF,,-,F,A0059559902,,,47,,03 year(s) 01 month(s) 02 day(s),,,,,,,,,,,,,,,,,,,False,1211583767312651,False
35,1211817036786917,L1,Available,Dogs 088 A7,,L1,,-,M,A0059561185,,,69,,02 year(s) 01 month(s) 02 day(s),,,,,,,,,,,,,,,,,,,False,1211583767524727,False
36,1211890529257644,L1,Available,Dogs 088 B1,,L1,,+,M,A0059570943,,,69,,02 year(s) 01 month(s) 00 day(s),,,,,,,,,,,,,,,,,,,False,1211605426150874,False
37,1211892651358818,L2,Priority,Dogs 081 A1,,L2-OA,,-,M,A0059572083,,,54,,01 year(s) 01 month(s) 00 day(s),,,,,,,,,,,,,,,,,,,False,1211605644284513,False
38,1211812034301975,L1,Available,Dogs 079 A5,,L1,,-,F,A0059563324,,,46,,01 year(s) 07 month(s) 00 day(s),,,,,,,,,,,,,,,,,,,False,1211605644117743,False
39,1211869055212814,L1,Available,Dogs 066 B4,,L1,,-,F,A0059583638,,,46,,01 year(s) 00 month(s) 30 day(s),,,,,,,,,,,,,,,,,,,False,1211615768729203,False
40,1211816528550833,L1,Available,Dogs 088 A6,,L1,,+,F,A0059546089,,,74,,03 year(s) 06 month(s) 29 day(s),,,,,,,,,,,,,,,,,,,False,1211615712959748,False
