,gid,Animal ID,Level,Level Reason,Special Intake Information,HW,Sex,Microchip ID,Rabies Revaccination Date,Weight,Hold,Current Status,Age,Location,Short URL,Foster Start Reason,Leash Skills,Dog Interaction,Cat Interaction,Kid Interaction,Crate Trained,Potty Skills,Cuddle Meter,Energy/Activity Level,DOB,IntakeDate,Color & Breed,More about me,Play Style,Playgroup Notes,"""Dog Test"" Notes",Behavior Notes,Foster/Home Notes,completed
0,1202051591890943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
1,1212299863434157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2,1204176851542563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
3,1206398421651832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
4,1203768970242971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
5,1206386867201919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
6,1213815095222435,A0060691238,L1,L1,,-,S,941010004718177,3/30/2027,46,,Available,04 year(s) 00 month(s) 07 day(s),Dogs 506 B7,https://fcasdogs.com/OceanSea,,,,,,,,,,,3/25/2026," Beige / White Terrier, American Pit Bull / Mix",,,,,3/26/2026 Behavior Upon Arrival: (behavior in field or intake lobby): n/aObserved Behavior in Kennel: Easily handledBehavior During Intake Exam: Easily handledLevel Given After Intake (be specific): L1 ,,False
7,1212331169546851,A0059905780,STAFF ONLY,STAFF ONLY,,,S,941010004958204,2/7/2027,40,,Pre-Euthanasia,02 year(s) 01 month(s) 22 day(s),Dogs 301 8,https://fcasdogs.com/Wonder,,Walks politely on leash,,,,,,I'm affectionate with friends,2-Medium energy,,12/6/2025," Brindle Mixed Breed, Medium (up to 44 lbs fully grown) / Mix",,No PlayGroup- Slow Intros,nan,"12/31/2025 Wonder was very anxious in the catchpin. She entered the yard with alot of caution and was very aware of her surroundings. Judy Garland approached Wonder and she got a little stiff. After a couple minutes Wonder warmed up and her tail began to wag when Judy approached her. Wonder was very tolerant of Judy licking in her mouth, her ears, and pawing at her. Wonder never broke for play but was interested in the other dogs after she had time to loosen up.","12/7/2025 Very stiff when approached. Runs and hides in back of kennel then growls while lifting lip. Partial on catch pole

12/16/2025 Intake notes.  Stray OTC   Do you recommend a level change?Yes. L3 - SF/AGeneral Notes:When I first approached her kennel she was in the outside portion. I called for her at the kennel door & I could see her pacing outside but she would not come in. Seems to be startled by all of the loud barking & noises. I closed the guillotine & headed to the outside of her kennel where she was frantically pacing & unable to focus. Once I had her attention she approached the gate with low tail wags/loose body language. I put my hand near the kennel & she licked me then completely tensed up & began low growling. The tension faded for a brief moment & I presented my leash. She then began pacing again but in a more excited way, eager to come out of the kennel. She is very difficult to leash (no aggression shown) as she stands on her hind legs & tries to push the leash out of the way with her front paws so she can dart out of the kennel. Easily handled once the leash is on. I took her to the play yard where she sniffed around & explored for a minute. After she was finished exploring she approached me with loose body language & tail wagging. I reached my hand to her to try to pet her & she did a play bow & started zoomies around the yard. I never could fully touch her as she's very avoidant of interaction/pets but no aggression shown. (Almost like it was a fun game to her). Placement Info: Personality:Dog Test 1:Dog Test 2:Medical:How Do I Handle Stress?What Do I Need Help With Most? Leashing issues (ducking around leash, pushing leash away with front paws)The Most Memorable Thing About Me: Once she warms up she's very silly & playful. Intake Info: Partial intake on catchpole was completed due to not being able to safely handle at first. See intake behavior notes. What is my strategic out?Ongoing care:Other notes: Would suggest staying in an indoor/outdoor kennel due to leashing issues. 

12/16/2025 Focus group completed. See memo. Leveling down to L3 - SF/A.

1/28/2026 While cleaning in a indoor outdoor, refused to come back in. Was able to leash to return to front section, walked well on leash, easily steered. While attempting to unleash from below, she become extremely stiff and uncomfortable. I stopped and gave her a second, she seemed to realx a little so i attempted again, going under, she snapped and did make contact with her nose on my hand no other contact . I backed up and closed her kennel. I used a leash hook to get the leash off. 

1/29/2026 Changed to L2-A and took off the SF. Based on my interactions and vol notes from asana, does not show much SF but instead seems more A

2/11/2026 Previous Level: L2 - ACurrent Level: L2 - A/BHWhy did this level change? Taken offsite for surgery. Snapped at doctor when they attempted to pre med and check vitals. Had to use catchpole to sedate.

3/3/2026 Monica was bringing Wonder back inside to her kennel, when she went to remove the leash, Wonder turned her head and bit Monica's wrist. Very minor bite. 

3/18/2026 Do you recommend a level change?Not at this timeGeneral Notes:Wonder approached the kennel in the outdoor portion of her run with loose body language, but with darting eyes looking back and forth between Maddie and I. She readily accepted treats. When presented with the leash Wonder became avoidant of it. She would accept treats but jump over the leash or move around it. It took time and luring to get the leash around her head. Once on the kennel door was opened Wonder tried to bolt. She continued to try to run and it took a moment to get her into the courtyard. In the courtyard her leash was held onto. Wonder would sniff around, then try to bolt. She appeared to be trying to run from/escape the leash. She had no interest in Maddie or I and was uncomfortable when Maddie tried to touch her she was uncomfortable. When rekenneling treats were tossed in to get her into her kennel and she tried to come out, but was blocked from doing so. When Maddie went to remove the leash Wonder became stiff with a high, slow tail wag, whale eye, and lots of lip licks. Maddie gave her a treat and after Wonder ate it she began cobbing and chattering her teeth. Maddie removed the leash very slowly, loosening it a lot before eventually removing it. Wonder remained stiff until the leash was off. Much of her source of stress seems to come from the leash.Placement Info: When ready, she would benefit from an experienced foster or adopterPersonality: Food motivated, anxious Dog Test 1: n/aDog Test 2: n/aMedical:noneHow Do I Handle Stress? Very anxious, becomes stiff What Do I Need Help With Most? LeashingThe Most Memorable Thing About Me: Fluffy tailIntake Info: StrayWhat is my strategic out? Patient home with someone who has experience with dogs who need confidence buildingOngoing care: Positive reinforcement with the leash and becoming more comfortable with staff and being handled Other notes: n/a",,False
8,1213606479695303,A0060598755,STAFF ONLY,STAFF ONLY,,,M,,,0,,Pre-Euthanasia,03 year(s) 00 month(s) 24 day(s),Dogs 301 7,https://fcasdogs.com/Zoink,,,,,,,,,,3/9/2023,3/9/2026," White Terrier, Pit Bull / Mix",,,,"3/26/2026 Zoink is a hard fellow to get a full read on.  Today he recognized me an gave a few wags.  He rarely lets his guard down.  As we take our walks he keeps his tail flagged at all times.  I pet his back today as we walked and he seemed not to notice for a while then stopped and stared up at me for a while.  The pause was too long for my comfort so I kept him walking.  We interacted with many dogs through the fences and he did a tail wag at them and sniffed them with no lip curling or other aggressive behaviors.  After our walk when I had to take off his leash he seemed to pause and look at me sideways.  I was able to distract him and take off his collar as well.  But he never seems to enjoy pets as he does not solicit attention or let that guard down.  Sometimes he even lip licks.   Takes treats gently and gives a slight wag for those.  He appears tolerant to an extent but not to the point where he enjoys affection, only treats.  He was interested in sniffing dogs, but showed no indication he wanted to play or that he was going to become aggressive.  The reason I did not do leash to leash with a dog is because I do not trust how he acts with people enough to trust him with others with a dog just yet.  His caretakers agree he is very hard to read even with working next to him daily.  He COULD POSSIBLY MOVE TO L3-BH/H if he does well in a focus group with another behavioral specialist.","3/10/2026 Behavior Upon Arrival: (behavior in field or intake lobby): ""Dog is aggressive and still loose in area"" ""Said the dog keeps coming in his yard attacking his dog""Observed Behavior in Kennel: When approaching kennel, hard staring, growling, lunging, attempting to bite, extremely stiff/tense muscles with flag tail & hackles raisedBehavior During Intake Exam: Partial on catchpoleLevel Given After Intake (be specific): STAFF ONLY 

3/12/2026 Needs dog test, see field notes.Zoink was lunging at most people just last week.  As he gets to know the group he has mellowed out.  When I first met him officially he had a flagged tail with all hackles and back fur up.  A few minutes later he let his guard down and his body relaxed.  He takes treats gently.  Specialists say he is coming around.  I did not take him out today because I want to gain trust before doing a dog test and adding stressors.  I put him down for a retest with me next week. -Cw",,False
9,1212848340069356,A0060112806,STAFF ONLY,STAFF ONLY,,-,N,941010004013781,1/18/2027,53,,Pre-Euthanasia,01 year(s) 08 month(s) 14 day(s),Dogs 302 4,,,,,,,,,,,7/19/2024,1/16/2026," Brown Retriever, Labrador / Mix",,No PlayGroup- Slow Intros,,"2/10/2026 Tested Gotsome with Lavacake. Mari had Lava on leash in the mulch yards and I had Gotsome in the pen. He is not steerable so we opted to keep them on leash. I walked in with Gotsome and he did a few sniffs and then approached Lava. He had loose body language and a good tail. His hackles were slightly raised but not too much to cause for concern. Lava is super tolerant so he did not mind, but Gotsome is very sexually motivated and kept trying to hump Lava. Would recommed and neuter. We did not drop the leashes due to Gotsome's fixation to hump. Would also recommend slow intros or M&G just to make sure his energy level is not too much. Would do best with a tolerant dog.","1/17/2026 Behavior Upon Arrival: (behavior in field or intake lobby):  Lab mix male medium brown in fair health. No collar…no chipObserved Behavior in Kennel: Easily leashed in kennel but when rekenneling, will try to push you out of the way to escape. Very frantic when placing back in kennel. No aggression shown.Behavior During Intake Exam: Extremely hyperactive once in exam room. Gets VERY overstimulated quickly & fixates on attempting to mount you, needs to be neutered.Level Given After Intake (be specific): L2 - OA/EA 

1/29/2026 Gotsome has been increasingly showing sign of dog reactivity to the point that he lunged at another dog while being walked and redirected at Gracie.  He bit her and she now has a bruise but it did not break the skin.  Needs to be re-evaluated and dog tested.

2/3/2026 I went through the backside (side with tarantula) and handed out treats to each dog on that side. Saw tarantula is a super holder, so decided to take him out as my last walk for the day. He sat well and had a good demeanor. Leashed well. We went out and first stopped at one of the cages and i saw he had a lot of energy, so we went for a walk around the back. He pulled, but was manageable. We were coming back to his section, he barked at gotsome, then the dog to his right and as i was opening his crate he went back and barked at gotsome and then i heard whimpering and saw tarantula got a hold of gotsome's paw. I said release, stop, and pulled on the leash and he didnt release for several minutes. I tried to throw treats to distract him and he still wouldn't release. I yelled for help, but there wasnt a way to hear me, so i just pulled him until he released. Once he did i put him in his crate with the leash and ran to the staff table. -Volunteer (KaeAnne Parris)",,False
