intake date,Kennel,AID,name,sx,description,dob,Age,hold?,reason,level
2023-04-03,A01,A897627,BRAZOR,N,TRICOLOR  PIT BULL MIX,2021-04-03,2 years 2 months,,,L1
2023-06-13,A01,A899657,HAPPY JACK,M,BLACK  LABRADOR RETR,2022-08-13,0 years 10 months,,,L1
2023-06-13,A01,A899667,JAY-Z,M,BLACK  AM PIT BULL TER,2021-06-13,2 years 0 months,,,L1
2023-06-08,A02,A899484,CHICKPEA,F,GRAY / WHITE  PIT BULL,2021-06-08,2 years 0 months,,,L1
2023-06-09,A02,A899530,LOVEY,F,BLACK  AM PIT BULL TER,2021-12-10,1 years 6 months,,,L1
2023-03-25,A02,A888961,SHIGH,F,BLACK  PIT BULL MIX,2021-04-03,2 years 2 months,Y,COURT,L1
2023-04-16,A02,A897943,CARMELLA,S,BR BRINDLE  PIT BULL,2021-04-16,2 years 1 months,,,L1
2023-05-10,A03,A898503,DEBBIE,F,TAN / WHITE  PIT BULL,2021-05-10,2 years 1 months,,,
2023-03-24,A03,A897395,BLUE,N,GRAY / WHITE  AM PIT BULL TER,2021-03-24,2 years 2 months,,,L1
2023-04-05,A03,A897689,THUNDER,F,BLONDE / WHITE  AM PIT BULL TER,2021-04-05,2 years 2 months,,,L1
2023-03-05,A03,A896215,EARL,N,CHOCOLATE / WHITE  ENG POINTER,2019-02-07,4 years 4 months,,,L1
2023-04-02,A04,A897624,LALA,F,BL BRINDLE  PIT BULL,2018-04-04,5 years 2 months,,,L1
2023-04-10,A04,A897820,LEMON CAKE,F,BLACK / WHITE  PIT BULL MIX,2018-04-10,5 years 2 months,,,L1
2023-03-13,A04,A897079,LADY,F,BLACK / WHITE  BOXER / BOSTON TERRIER,2018-03-11,5 years 3 months,,,L2-OA
2023-03-17,A04,A897225,SAPHIRE,S,GRAY / WHITE  PIT BULL,2021-09-17,1 years 9 months,,,L1
2023-03-15,A05,A897171,SUNNY,F,WHITE / BLACK  PIT BULL,2021-03-15,2 years 3 months,,,L2-OA
2023-03-09,A05,A897012,ORCHID,F,BROWN / WHITE  PIT BULL,2022-03-09,1 years 3 months,,,L1
2022-12-05,A05,A893583,MERCUTIO,N,BLACK / BROWN  GERM SHEPHERD MIX,2019-09-30,3 years 8 months,Y,MUSTREAD,L1
2023-02-20,A06,A896626,IRVING,S,BROWN / WHITE  AM PIT BULL TER,2022-02-20,1 years 3 months,,,L1
2023-03-26,A06,A897439,BEAU,N,BLACK  PIT BULL,2020-03-26,3 years 2 months,,,L1
2023-04-08,A06,A897788,MARIO,N,BLACK  PIT BULL / LABRADOR RETR,2021-04-08,2 years 2 months,,,L1
2023-04-06,A07,A897710,DAVID,N,BL BRINDLE  PIT BULL,2021-04-06,2 years 2 months,,,L1
2023-04-04,A07,A897654,GHOST YATES,N,WHITE  PIT BULL,2021-04-04,2 years 2 months,,,L1
2023-03-22,A07,A897342,OLIVE OIL,N,GRAY / WHITE  AMER BULLDOG,2020-03-22,3 years 2 months,,,L1
2023-04-17,A07,A897950,HART,N,BLACK / WHITE  PIT BULL,2019-04-17,4 years 1 months,,,L1
2023-04-11,A08,A897848,BUN,N,GRAY / WHITE  AM PIT BULL TER,2019-04-11,4 years 2 months,,,L1-SH
2023-04-25,A08,A898166,MEREDITH PALMER,F,TAN / WHITE  AM PIT BULL TER / BOXER,2021-04-26,2 years 1 months,,,L1
2023-03-31,A08,A897549,TRICIA,F,BR BRINDLE / WHITE  PIT BULL,2019-03-31,4 years 2 months,,,L1
2023-02-18,A08,A896620,RITA,F,BLACK / WHITE  AM PIT BULL TER,2018-02-18,5 years 3 months,,,L2-BH
2023-03-10,A09,A897042,LOCA,N,TAN / WHITE  PIT BULL,2022-05-10,1 years 1 months,,,L2-OA
2023-03-24,A09,A897385,SASHA,S,BLACK / WHITE  AM PIT BULL TER,2012-03-24,11 years 2 months,,,L1
2023-06-07,A09,A899473,LIZZIE,S,TAN / WHITE  AM PIT BULL TER,2021-06-11,2 years 0 months,Y,MICROCHIP,L1
2023-06-13,A09,A899660,ASHER,M,BLACK / TAN  GERM SHEPHERD,2014-06-14,9 years 0 months,Y,MICROCHIP,L1
2023-02-13,A10,A896488,DRACO,N,WHITE / BROWN  AM PIT BULL TER,2021-02-13,2 years 4 months,,,L1
2023-02-05,A10,A896199,JOSE,N,BROWN / WHITE  STAFFORDSHIRE,2021-02-06,2 years 4 months,,,L1
2023-04-26,A10,A898168,HARLEY QUINN,F,GRAY / WHITE  PIT BULL,2019-04-26,4 years 1 months,,,L1
2023-04-19,A10,A887294,PEPPER,S,BROWN  BASENJI MIX,2021-08-29,1 years 9 months,,,L1
2023-04-17,A10,A897948,MURIEL,F,GRAY / WHITE  AM PIT BULL TER,2020-04-18,3 years 1 months,,,L1
2023-04-23,A11,A898091,SMITH,N,WHITE / GRAY  LABRADOR RETR MIX,2019-04-24,4 years 1 months,,,L1
2023-02-13,A11,A896457,RADISH,N,GRAY  PIT BULL MIX,2021-03-01,2 years 3 months,,,L1
2023-02-19,A11,A896175,FERNANDA,S,BROWN / BLACK  LABRADOR RETR MIX,2021-02-04,2 years 4 months,,,L1
