,AnimalNumber,AnimalType,AnimalName,Age,ColorAndBreed,Stage,Location,DateOfBirth,Sex,AnimalWeight,NumberOfPictures,IntakeDateTime,ARN,MicrochipNumber,PlayStyle,Result,ExpirationDate,FosterReason,ShortURL,HoldReason,DogTest,PlayGroup,Behavior,HomeNotes,IntakeDate,Level
0,A0060725083,Dog,Ralph,," White Poodle, Miniature / Mix",Stray Wait,Dog Intake 128.01,,M,12,2,4/2/2026 03:45 PM,,,,,,,,,,,,,4/2/2026,
1,A0060726946,Dog,Julia,03 year(s) 00 month(s) 00 day(s)," Tan / White Retriever, Labrador / Terrier, Pit Bull",Stray Wait,Dog Pre/Post Op 135 6,4/2/2023,F,75,1,4/1/2026 12:10 PM,L3-SF,941010004757447,,,,,,,,,,,4/1/2026,L3
2,A0060727480,Dog,,03 year(s) 00 month(s) 01 day(s), Brown / Black German Shepherd / Mix,Stray Wait,Receiving 129 K2,4/1/2023,F,0,1,4/1/2026 01:24 PM,2026003502,,,,,,,,,,,,4/1/2026,
3,A0060728854,Dog,Rocko,," Apricot Mixed Breed, Medium (up to 44 lbs fully grown) / Mix",Available,Dog Intake 128.04,,N,0,1,4/2/2026 11:36 AM,,,,,,,,,,,,,4/2/2026,
4,A0060729068,Dog,,03 year(s) 00 month(s) 01 day(s)," Tan / White Terrier, Pit Bull / Mix",Pending Medical Assessment/Treatment,Receiving 130 1,4/1/2023,F,0,1,4/1/2026 03:26 PM,2026003507,,,,,,,,,,,,4/1/2026,
5,A0060731729,Dog,Franklin,," Brown Retriever, Labrador / Mix",Identifying Info,Receiving 130 9,,M,0,2,4/1/2026 10:33 PM,,,,,,,,,,,,,4/1/2026,
6,A0060733076,Dog,,," Brown / White Retriever, Labrador / Mix",Stray Wait,Receiving 129 K7,,M,0,1,4/2/2026 11:51 AM,2026003459,,,,,,,,,,,,4/2/2026,
7,A0060733559,Dog,Eeyore,," Grey / White Mixed Breed, Large (over 44 lbs fully grown) / Mix",Microchip,Receiving 130 2,,M,0,1,4/2/2026 11:39 AM,,900263006587187,,,,,,,,,,,4/2/2026,
8,A0060733733,Dog,Dog,," Apricot Mixed Breed, Medium (up to 44 lbs fully grown) / Mix",Available,Foster Friendly Finder,,U,0,0,4/2/2026 11:54 AM,,,,,,,,,,,,,4/2/2026,
9,A0060733839,Dog,Mamas,02 year(s) 00 month(s) 00 day(s)," Grey / Black Mixed Breed, Medium (up to 44 lbs fully grown) / Mix",Stray Wait,Foster Friendly Finder,4/2/2024,F,47,1,4/2/2026 12:09 PM,L1,941010004714804,,,,,,,,,,,4/2/2026,L1
10,A0060733978,Dog,Pudding,, Black German Shepherd / Mix,Stray Wait,Receiving 130 10,,F,0,2,4/2/2026 11:00 AM,,,,,,,,,,,,,4/2/2026,
11,A0060735197,Dog,Chance,,"Brindle Black / Brown Mixed Breed, Medium (up to 44 lbs fully grown) / Mix",Available,Receiving 129 K5,,M,0,1,4/2/2026 02:07 PM,,,,,,,,,,,,,4/2/2026,
12,A0060735235,Dog,Ghost,02 year(s) 00 month(s) 00 day(s), Black German Shepherd / Mix,Nursing Mom,Mutternity 2,4/2/2024,F,0,0,4/2/2026 01:58 PM,,985113012466737,,,,,,,,,,,4/2/2026,
13,A0060735249,Dog,Lincoln,," Black Mixed Breed, Small (under 24 lbs fully grown) / Mix",Available,Mutternity 2,,U,0,0,4/2/2026 01:58 PM,,,,,,,,,,,,,4/2/2026,
14,A0060735259,Dog,Lori,," Black Mixed Breed, Small (under 24 lbs fully grown) / Mix",Available,Mutternity 2,,U,0,0,4/2/2026 01:58 PM,,,,,,,,,,,,,4/2/2026,
15,A0060735269,Dog,Leni,," Black Mixed Breed, Small (under 24 lbs fully grown) / Mix",Available,Mutternity 2,,U,0,0,4/2/2026 01:58 PM,,,,,,,,,,,,,4/2/2026,
16,A0060735275,Dog,Luna,," Brown Mixed Breed, Small (under 24 lbs fully grown) / Mix",Available,Mutternity 2,,U,0,0,4/2/2026 01:58 PM,,,,,,,,,,,,,4/2/2026,
17,A0060735288,Dog,Lynn,," Brown Mixed Breed, Small (under 24 lbs fully grown) / Mix",Available,Mutternity 2,,U,0,0,4/2/2026 01:58 PM,,,,,,,,,,,,,4/2/2026,
18,A0060735300,Dog,Lucy,," Brown Mixed Breed, Small (under 24 lbs fully grown) / Mix",Available,Mutternity 2,,U,0,0,4/2/2026 01:58 PM,,,,,,,,,,,,,4/2/2026,
19,A0060735316,Dog,Lana,," Grey Mixed Breed, Small (under 24 lbs fully grown) / Mix",Available,Mutternity 2,,U,0,0,4/2/2026 01:58 PM,,,,,,,,,,,,,4/2/2026,
20,A0060735370,Dog,Lola,," Grey Mixed Breed, Small (under 24 lbs fully grown) / Mix",Available,Mutternity 2,,U,0,0,4/2/2026 01:58 PM,,,,,,,,,,,,,4/2/2026,
21,A0060735388,Dog,Lisa,," Grey Mixed Breed, Small (under 24 lbs fully grown) / Mix",Available,Mutternity 2,,U,0,0,4/2/2026 01:58 PM,,,,,,,,,,,,,4/2/2026,
22,A0060735420,Dog,Luan,," Grey Mixed Breed, Small (under 24 lbs fully grown) / Mix",Available,Mutternity 2,,U,0,0,4/2/2026 01:58 PM,,,,,,,,,,,,,4/2/2026,
