,gid_x,Weight_y,Age_y,LevelReason,Location_y,CurrentStatus,Level_y,Sex_y,AnimalID,HW_y
0,1206398747849450,,,,,,,,,
1,1206398747849468,,,,,,,,,
2,1206398747861283,,,,,,,,,
3,1211179520215738,0,,,Receiving 130 10,Stray Wait,,M,A0059259068,
4,1211179520215760,0,,,Receiving 130 10,Stray Wait,,M,A0059259068,
5,1211179521464270,0,,,Receiving 130 10,Stray Wait,,M,A0059259068,
6,1211179383174766,0,,,Receiving 130 17,Available,,F,A0059258400,
7,1211179383407953,0,,,Receiving 130 17,Available,,F,A0059258400,
8,1211179383407963,0,,,Receiving 130 17,Available,,F,A0059258400,
9,1211179518484211,0,,,Receiving 130 Crate,Stray Wait,,M,A0059261659,
10,1211179518484233,0,,,Receiving 130 Crate,Stray Wait,,M,A0059261659,
11,1211179521214564,0,,,Receiving 130 Crate,Stray Wait,,M,A0059261659,
12,1211179517336728,0,,,Receiving 130 Crate,Identifying Info,,F,A0059261687,
13,1211179521205295,0,,,Receiving 130 Crate,Identifying Info,,F,A0059261687,
14,1211179521205305,0,,,Receiving 130 Crate,Identifying Info,,F,A0059261687,
15,1211179456468126,0,05 year(s) 06 month(s) 18 day(s),STAFF ONLY2025001753,Dogs 203 8,Court,STAFF ONLY,F,A0059259378,
16,1211179456468148,0,05 year(s) 06 month(s) 18 day(s),STAFF ONLY2025001753,Dogs 203 8,Court,STAFF ONLY,F,A0059259378,
17,1211179456810845,0,05 year(s) 06 month(s) 18 day(s),STAFF ONLY2025001753,Dogs 203 8,Court,STAFF ONLY,F,A0059259378,
18,1211179456030958,0,,,Receiving 130 Crate,Stray Wait,,M,A0059261667,
19,1211179456797918,0,,,Receiving 130 Crate,Stray Wait,,M,A0059261667,
20,1211179456797928,0,,,Receiving 130 Crate,Stray Wait,,M,A0059261667,
21,1211179382866339,0,05 year(s) 06 month(s) 18 day(s),STAFF ONLY2025001753,Dogs 203 3,Court,STAFF ONLY,M,A0059259369,
22,1211179382866361,0,05 year(s) 06 month(s) 18 day(s),STAFF ONLY2025001753,Dogs 203 3,Court,STAFF ONLY,M,A0059259369,
23,1211179383320391,0,05 year(s) 06 month(s) 18 day(s),STAFF ONLY2025001753,Dogs 203 3,Court,STAFF ONLY,M,A0059259369,
24,1211179456368700,0,,,Receiving 130 7,Stray Wait,,M,A0059258383,
25,1211179456701564,0,,,Receiving 130 7,Stray Wait,,M,A0059258383,
26,1211179456701574,0,,,Receiving 130 7,Stray Wait,,M,A0059258383,
27,1211179521010172,0,,,Receiving 129 K3,Pending Behavior Assessment,,F,A0059257262,
28,1211179521010194,0,,,Receiving 129 K3,Pending Behavior Assessment,,F,A0059257262,
29,1211179521051746,0,,,Receiving 129 K3,Pending Behavior Assessment,,F,A0059257262,
30,1211179377270041,0,04 year(s) 00 month(s) 01 day(s),,Receiving 130 20,Stray Wait,,M,A0059257490,
31,1211179383134581,0,04 year(s) 00 month(s) 01 day(s),,Receiving 130 20,Stray Wait,,M,A0059257490,
32,1211179383134591,0,04 year(s) 00 month(s) 01 day(s),,Receiving 130 20,Stray Wait,,M,A0059257490,
33,1211179521007811,0,,,Receiving 130 7,Stray Wait,,M,A0059258390,
34,1211179521057378,0,,,Receiving 130 7,Stray Wait,,M,A0059258390,
35,1211179521057388,0,,,Receiving 130 7,Stray Wait,,M,A0059258390,
36,1211179520569036,52,01 year(s) 00 month(s) 02 day(s),L1,Dogs 506 B3,Available,L1,F,A0059253834,-
