,gid_x,Weight_y,Age_y,LevelReason,Location_y,CurrentStatus,Level_y,Sex_y,AnimalID,HW_y
0,1211165712032924,59,03 year(s) 00 month(s) 20 day(s),L1,Flex 82,Available,L1,S,A0059069720,+
1,1211087790300593,23,00 year(s) 04 month(s) 20 day(s),L1,Flex 82,Available,L1,S,A0059069721,-
2,1211093332348438,44,01 year(s) 01 month(s) 11 day(s),L1,Dogs 081 B1,Available,L1,M,A0058933580,-
3,1211157513815688,44,01 year(s) 01 month(s) 11 day(s),L1,Dogs 081 B1,Available,L1,M,A0058933580,-
4,1211176471108577,49,02 year(s) 01 month(s) 17 day(s),L1,Dogs 403 A5,Available,L1,M,A0058886517,-
5,1211155206073155,50,02 year(s) 01 month(s) 23 day(s),L1,Foster Foster Home,Available,L1,M,A0058847356,-
6,1211128207564564,76,08 year(s) 00 month(s) 12 day(s),L1,Flex 84,Priority,L1,M,A0059122741,-
7,1211157013672918,72,09 year(s) 10 month(s) 12 day(s),L1,Flex 84,Available,L1,F,A0053303339,-
8,1211127858193327,42,03 year(s) 01 month(s) 07 day(s),L1,Dogs 079 A6,Available,L1,F,A0058948812,-
9,1211132482830572,65,02 year(s) 01 month(s) 10 day(s),L1,Foster Foster Home,Available,L1,M,A0058923968,-
10,1211164886307839,24,00 year(s) 06 month(s) 17 day(s),L1,Dogs 088 A10,Available,L1,S,A0058884817,
11,1211133236933855,75,04 year(s) 01 month(s) 00 day(s),L1,Foster Foster Home,Available,L1,N,A0058998761,
12,1211165496753211,56,04 year(s) 02 month(s) 04 day(s),L1,Dogs 064 B4,Adopted,L1,S,A0058778620,-
13,1211130015481237,22,00 year(s) 06 month(s) 04 day(s),L1- EA,Dogs 066 B4,Available,L1,F,A0058973635,
14,1211117151235582,58,08 year(s) 00 month(s) 30 day(s),L1,Foster Foster Home,Available,L1,N,A0059005672,
15,1211132908719965,54,05 year(s) 02 month(s) 04 day(s),L1,Foster Foster Home,Available,L1,N,A0058778619,+
16,1211132408864577,65,03 year(s) 01 month(s) 23 day(s),L1,Dogs 079 A4,Priority,L1,F,A0058848637,+
17,1211163269271552,53,03 year(s) 01 month(s) 20 day(s),L1,Dogs 064 B2,Priority,L1,N,A0058864035,-
18,1211130086782136,56,05 year(s) 01 month(s) 13 day(s),L1,Foster Trial Adoption,Trial Adoption,L1,S,A0058911318,-
19,1211165245950582,56,05 year(s) 01 month(s) 05 day(s),L1,Dogs 081 B8,Available,L1,F,A0058964897,+
20,1211152862548100,61,03 year(s) 01 month(s) 02 day(s),L2-BR,Foster Foster Home,Available,L2,M,A0058988613,-
21,1211073298780081,35,02 year(s) 01 month(s) 03 day(s),L2-SF,Dogs 067 A5,Available,L2,F,A0058985823,-
22,1211129749526541,64,01 year(s) 06 month(s) 29 day(s),L1 - EA,Dogs 066 B6,Available,L1,M,A0059011050,-
23,1211073198546935,53,02 year(s) 00 month(s) 29 day(s),L1,Dogs 067 B2,Available,L1,F,A0059010208,-
24,1211151038333237,39,03 year(s) 00 month(s) 30 day(s),L1,Dogs 068 B4,Available,L1,M,A0059007743,-
25,1211132618412346,42,03 year(s) 00 month(s) 29 day(s),L2-A,Dogs 068 A4,Priority,L2,M,A0059008519,-
26,1211184862689486,45,07 year(s) 00 month(s) 27 day(s),L1,Dogs 068 A3,Priority,L1,F,A0059027650,-
27,1211086718001513,54,03 year(s) 00 month(s) 27 day(s),L2-BH,Dogs 081 A8,Adopted,L2,S,A0059026601,+
28,1211175843484274,20,00 year(s) 08 month(s) 07 day(s),L1,Dogs 081 B7,Available,L1,M,A0058962398,-
29,1211184805233795,67,02 year(s) 00 month(s) 28 day(s),L1,Dogs 088 B9,Available,L1,M,A0059028091,-
30,1211163671865135,50,03 year(s) 00 month(s) 24 day(s),L1,Dogs 064 A3,Adopted,L1,M,A0059041470,-
31,1211113413358218,40,03 year(s) 00 month(s) 24 day(s),L2-SF,Dogs 079 B4,Available,L2,F,A0059050743,-
32,1211036635441681,37,01 year(s) 00 month(s) 22 day(s),L2-SF,Dogs 066 B3,Available,L2,F,A0059057788,-
33,1211184502644571,41,03 year(s) 01 month(s) 18 day(s),L1,Dogs 088 B10,Available,L1,F,A0058881259,-
34,1211174921085351,49,12 year(s) 00 month(s) 21 day(s),L1,Dogs 079 A3,Priority,L1,F,A0059069137,+
35,1211127780621274,45,01 year(s) 06 month(s) 20 day(s),L2 - SF,Dogs 068 B3,Available,L2,F,A0059076505,-
36,1211164893314639,51,01 year(s) 00 month(s) 25 day(s),L1,Dogs 067 A4,Available,L1,M,A0059037942,-
37,1211157004223955,40,02 year(s) 00 month(s) 19 day(s),L2-A,Featured Dogs 55,Priority,L2,F,A0059080643,-
38,1211141364026364,38,01 year(s) 00 month(s) 19 day(s),L3-SD,Dogs 066 A1,Cites,L3,F,A0059080672,-
39,1211129104457158,53,02 year(s) 01 month(s) 04 day(s),L1,Dogs 081 B5,Available,L1,N,A0058978213,-
40,1211132928520217,36,03 year(s) 00 month(s) 23 day(s),L2-SF,Dogs 067 B3,Available,L2,M,A0059048069,-
41,1211073104026148,41,00 year(s) 10 month(s) 17 day(s),L1,Dogs 088 B4,Available,L1,S,A0059087305,-
42,1211073241094765,38,03 year(s) 00 month(s) 18 day(s),L1,Dogs 067 A3,Available,L1,M,A0059080810,-
43,1211164538241953,51,00 year(s) 09 month(s) 16 day(s),L1,Foster Foster Home,Available,L1,S,A0059093794,-
44,1211130249955104,31,00 year(s) 10 month(s) 17 day(s),L1,Dogs 088 A7,Available,L1,N,A0059090536,-
